Original Transcription,Corrected Transcription
"Yeah, yeah, we'll find a time, you know, someone like that.","Yeah, yeah, we'll find a time, you know, someone like that."
I don't know whether I do want to have them in my alliance right from the get go though.,I don't know whether I do want to have them in my alliance right from the get go though.
It's just going to add a whole other level of paranoia to the game.,It's just going to add a whole other level of paranoia to the game.
We have to get D off obviously.,We have to get D off obviously.
Right.,Right.
Is anyone else thinking that?,Is anyone else thinking that?
"Yeah, sure.","Yeah, sure."
I'm hoping to get Michael on my side.,I'm hoping to get Michael on my side.
I think he would be an awesome alive alliance.,I think he would be an awesome alive alliance.
He looks very fit and I think he is quite bright as well.,He looks very fit and I think he is quite bright as well.
So I think he's quite an all rounder player.,So I think he's quite an all rounder player.
"We went off and Shannon was like, oh my God, we've left all those guys by themselves together.","We went off and Shannon was like, oh my God, we've left all those guys by themselves together."
This is not good.,This is not good.
"Definitely probably going to keep my eye on Georgia a little bit, I think and definitely see her giving those eyes to Mike.","Definitely probably going to keep my eye on Georgia a little bit, I think and definitely see her giving those eyes to Mike."
I don't know what's going to happen there but I definitely just got to be wary of that.,I don't know what's going to happen there but I definitely just got to be wary of that.
Don't like villains.,Don't like villains.
You don't like what the villains?,You don't like what the villains?
No.,No.
"As soon as she put up the hand for the felon, I was like, all right, you're out.","As soon as she put up the hand for the villain, I was like, all right, you're out."
Like I don't want someone around camp that's going to start.,Like I don't want someone around camp that's going to start.
Get what I mean?,Get what I mean?
"Yep, yep.","Yep, yep."
And I'm a man of my word.,And I'm a man of my word.
You're a man of your word?,You're a man of your word?
Yep.,Yep.
"So I was thinking me, you, Shannon and Georgia teamed up because you seem like a very honest person and I am as well if us four teamed up and yeah, my daily final four.","So I was thinking me, you, Shannon and Georgia teamed up because you seem like a very honest person and I am as well if us four teamed up and yeah, my daily final four."
"So yeah, have a think about that proposition.","So yeah, have a think about that proposition."
So I'm a senior sergeant with the police.,So I'm a senior sergeant with the police.
I've spoken to people for nearly 20 years who've been not telling me the truth.,I've spoken to people for nearly 20 years who've been not telling me the truth.
One of the skill sets that I'll have that the others won't have will be picking up on the little cues and vibes and mannerisms around what they do and versus what they say and we'll Keep those long because we can weave those.,One of the skill sets that I'll have that the others won't have will be picking up on the little cues and vibes and mannerisms around what they do and versus what they say and we'll Keep those long because we can weave those.
I think we should do D because she's a 100 stir.,I think we should do D because she's a 100 stir.
"I really know very little about D, but I just looked at her and I thought, you're going to be a bit trouble further down.","I really know very little about D, but I just looked at her and I thought, you're going to be a bit trouble further down."
Nathan's coming now.,Nathan's coming now.
You've got to kind of watch how he is.,You've got to kind of watch how he is.
He's thinking we're just going to get voted off because we're old.,He's thinking we're just going to get voted off because we're old.
So don't play on that with him.,So don't play on that with him.
Yeah.,Yeah.
I'm concerned of the stage.,I'm concerned of the stage.
I'm the old man of the tribe.,I'm the old man of the tribe.
"There's Barb, obviously.","There's Barb, obviously."
He's on that sort of same 40 to 50 age bracket with myself.,He's on that sort of same 40 to 50 age bracket with myself.
And we've got.,And we've got.
"Now we've got five young ones, as in.","Now we've got five young ones, as in."
In their 20s.,In their 20s.
You could totally weave them into a mat.,You could totally weave them into a mat.
Don't you reckon?,Don't you reckon?
"We'll need heaps of them, but there's quite a few around.","We'll need heaps of them, but there's quite a few around."
Michael's given me his word that he wasn't going to vote me up if it broke down to four.,Michael's given me his word that he wasn't going to vote me up if it broke down to four.
The four from this tribe were going through.,The four from this tribe were going through.
I'm unsure about that.,I'm unsure about that.
"Okay, so us three definitely together, right?","Okay, so us three definitely together, right?"
Yes.,Yes.
100.,100.
"1, 2, 3.","1, 2, 3."
Yeah.,Yeah.
We need a fourth.,We need a fourth.
Yeah.,Yeah.
Who do you think?,Who do you think?
I like Nate.,I like Nate.
Yeah.,Yeah.
"No, no, no, no, no, no, no, no, no, no.","No, no, no, no, no, no, no, no, no, no."
They're all the old people.,They're all the old people.
"They already were gonna target you, too.","They already were going to target you, too."
I heard they were gonna target one because they thought you guys was getting too close.,I heard they were going to target one because they thought you guys was getting too close.
I think I made a mistake.,I think I made a mistake.
"I already went to Nate and was like, hey, man, you're the man idea.","I already went to Nate and was like, hey, man, you're the man idea."
I reckon that should be us three and him.,I reckon that should be us three and him.
I don't.,I don't.
I don't.,I don't.
"I don't think that's a good idea, but I reckon us three.","I don't think that's a good idea, but I reckon us three."
"Yeah, for sure.","Yeah, for sure."
What are you thinking?,What are you thinking?
"I think I'm thinking the same thing as everyone else, which is as long as it's not me.","I think I'm thinking the same thing as everyone else, which is as long as it's not me."
Is it an idea getting thrown around?,Is it an idea getting thrown around?
"Well, the weakest person, which is.","Well, the weakest person, which is."
"Yeah, Yeah, I think it is.","Yeah, Yeah, I think it is."
The only person that probably wouldn't do that is Nate.,The only person that probably wouldn't do that is Nate.
But I think it's all about.,But I think it's all about.
"With the first couple of challenges and stuff, it's about strength and, like, she's lovely and she's mummy, but I don't need a.","With the first couple of challenges and stuff, it's about strength and, like, she's lovely and she's mommy, but I don't need a."
A mom.,A mom.
I need someone who can.,I need someone who can.
"So I just wanted to fill you in real quick with what's happening, and this absolutely sucks, but I just wanted to see, are we changing?","So I just wanted to fill you in real quick with what's happening, and this absolutely sucks, but I just wanted to see, are we changing?"
"Well, I'm just telling you where everyone else is moving and basically they're all going, I'm, like, tossing out, like, his.","Well, I'm just telling you where everyone else is moving and basically they're all going, I'm, like, tossing out, like, his."
"Everyone thinks Hannah's really weak and everything, and I could See that.","Everyone thinks Hannah's really weak and everything, and I could See that."
I could definitely see that.,I could definitely see that.
"But she is very strong and she is helping out, but I don't know, like, people see her as the weaker player, so.","But she is very strong and she is helping out, but I don't know, like, people see her as the weaker player, so."
"But then Tom, he's.","But then Tom, he's."
I don't know if he's actually that strong and then may have a point here.,I don't know if he's actually that strong and then may have a point here.
"He hasn't done anything strong to show us, you know what I mean?","He hasn't done anything strong to show us, you know what I mean?"
He doesn't look that strong and then I don't trust him.,He doesn't look that strong and then I don't trust him.
I think he's someone that's gonna switch on you really quickly.,I think he's someone that's going to switch on you really quickly.
It's getting closer to voting time and I haven't really talked to Hannah or Shay again and I'm getting a little bit suspicious because they have been going off with other people and doing things and I'm just wondering.,It's getting closer to voting time and I haven't really talked to Hannah or Shay again and I'm getting a little bit suspicious because they have been going off with other people and doing things and I'm just wondering.
Everything is ultimately just going to us to the end.,Everything is ultimately just going to us to the end.
Same plan.,Same plan.
So far so good.,So far so good.
Yeah.,Yeah.
So far so good.,So far so good.
Yeah.,Yeah.
Always paranoid of.,Always paranoid of.
Of what other people are seeing.,Of what other people are seeing.
We can't do this again.,We can't do this again.
Walk off home.,Walk off home.
"Yeah, yeah, yeah.","Yeah, yeah, yeah."
I know a couple and Survivor is dangerous and so if they view us to be a strong couple.,I know a couple and Survivor is dangerous and so if they view us to be a strong couple.
Yeah.,Yeah.
One of us is going to be on the chopping block.,One of us is going to be on the chopping block.
I don't feel safe heading into tribal.,I don't feel safe heading into tribal.
"I mean, who knows what could happen.","I mean, who knows what could happen."
No one is giving a clear number.,No one is giving a clear number.
There's no majority vote yet.,There's no majority vote yet.
"So, so nervous.","So, so nervous."
"I'm hoping I'm in a good position, but I.","I'm hoping I'm in a good position, but I."
My heart is absolutely pounding.,My heart is absolutely pounding.
Being discussed and I feel I have almost been instructed to vote a certain way.,Being discussed and I feel I have almost been instructed to vote a certain way.
Welcome to Tribal Council.,Welcome to Tribal Council.
"In this game, fire represents life.","In this game, fire represents life."
"Once your fire is gone, you are gone from this tribe.","Once your fire is gone, you are gone from this tribe."
Day one of Survivor New Zealand and one of the Mogotron tribe will be gone.,Day one of Survivor New Zealand and one of the Mogotron tribe will be gone.
"Tom, how would you feel if that was.","Tom, how would you feel if that was."
You feel rough?,You feel rough?
"You know, we're a long way from home.","You know, we're a long way from home."
"It's a big trip to make and then to go back so early, so it'd be rough.","It's a big trip to make and then to go back so early, so it'd be rough."
"Louisa, do you think there's any game playing going on already?","Louisa, do you think there's any game playing going on already?"
"Day one of Survivor New Zealand, people are talking and going off discussing who they think or what weaknesses people have.","Day one of Survivor New Zealand, people are talking and going off discussing who they think or what weaknesses people have."
We hardly know each other.,We hardly know each other.
You don't even get to spend a night on the island and you've got to send one of your team members home and it's not a nice feeling.,You don't even get to spend a night on the island and you've got to send one of your team members home and it's not a nice feeling.
"Hannah, day one.","Hannah, day one."
How difficult is it to vote someone out of this game when you just met each other?,How difficult is it to vote someone out of this game when you just met each other?
That's hard.,That's hard.
This is a hard game.,This is a hard game.
It is.,It is.
You here to play it?,You here to play it?
"Yeah, man.","Yeah, man."
I've got things to prove.,I've got things to prove.
What have you got to prove?,What have you got to prove?
"People often look at me and just think, oh, here's a pretty girl.","People often look at me and just think, oh, here's a pretty girl."
"In a dress that does her hair and makeup, she can't pull her weight.","In a dress that does her hair and makeup, she can't pull her weight."
"But I was out there lifting massive rocks, you know, pulling all my pelts, lifting skills into play.","But I was out there lifting massive rocks, you know, pulling all my pelts, lifting skills into play."
"You can't judge a book by a cover, you know, I've got a lot to prove.","You can't judge a book by a cover, you know, I've got a lot to prove."
What are you looking for in a good tribe member?,What are you looking for in a good tribe member?
Somebody's got my back.,Somebody's got my back.
Do you trust everyone?,Do you trust everyone?
"Yes, to an extent.","Yes, to an extent."
"At the end of the day, it comes down to it's in a game, things can happen, people can turn.","At the end of the day, it comes down to it's in a game, things can happen, people can turn."
You got Hannah's back.,You got Hannah's back.
"I mean, you can't really have everyone's back.","I mean, you can't really have everyone's back."
I don't know who's got my back.,I don't know who's got my back.
I don't know whose back I've got yet.,I don't know whose back I've got yet.
It's day one.,It's day one.
"It's still so, so early.","It's still so, so early."
"Anyone emerging as a leader, if anyone, I'd have to say old Tony here, he's had a wealth of experience building and he really knows his stuff and I think we all listen and respect his opinion.","Anyone emerging as a leader, if anyone, I'd have to say old Tony here, he's had a wealth of experience building and he really knows his stuff and I think we all listen and respect his opinion."
"Tony, do you feel like you're a leader?","Tony, do you feel like you're a leader?"
"Yeah, I think I am.","Yeah, I think I am."
But they've got a great bunch of people here.,But they've got a great bunch of people here.
"You know, I think some of them didn't bite me lip a bit, but they can see what I'm trying to get at, which is good.","You know, I think some of them didn't bite me lip a bit, but they can see what I'm trying to get at, which is good."
You think some of this tribe are biting their lip and dealing with you?,You think some of this tribe are biting their lip and dealing with you?
"Yeah, I think maybe one or two.","Yeah, I think maybe one or two."
"I mean, I expected that.","I mean, I expected that."
"You know, I didn't want to come on too strong because we are a team.","You know, I didn't want to come on too strong because we are a team."
Team.,Team.
"Tony, what are your weak points?","Tony, what are your weak points?"
I've got a few.,I've got a few.
"I've got a very dark sense of humor and yeah, some people don't appreciate it, so it could be my downfall, I guess.","I've got a very dark sense of humor and yeah, some people don't appreciate it, so it could be my downfall, I guess."
But this is Survivor.,But this is Survivor.
Anything can happen.,Anything can happen.
Probably will deal with it.,Probably will deal with it.
Have alliances been formed today?,Have alliances been formed today?
Yes.,Yes.
Who's playing this game with honour?,Who's playing this game with honour?
Any of you?,Any of you?
Salah?,Salah?
I'd like to think I'm a man of integrity so I want to be as honest as possible.,I'd like to think I'm a man of integrity so I want to be as honest as possible.
How did you feel about Isabelle pilfering the other tribes loot?,How did you feel about Isabelle pilfering the other tribes loot?
"Oh, well, you know, sometimes gotta do what you gotta do in order to some.","Oh, well, you know, sometimes gotta do what you gotta do in order to some."
"Isabelle, you probably delivered the lion's share of the loot in today's challenge.","Isabelle, you probably delivered the lion's share of the loot in today's challenge."
Are you feeling safe?,Are you feeling safe?
"No, I'm not.","No, I'm not."
Why not?,Why not?
Because I think some people disagree with me giving the knife away.,Because I think some people disagree with me giving the knife away.
Does anyone think that?,Does anyone think that?
I personally don't think it was a wrong decision.,I personally don't think it was a wrong decision.
Anyone can see it as a weak decision.,Anyone can see it as a weak decision.
"Guys, 100k up for grabs.","Guys, 100k up for grabs."
Any of you want to say anything before we vote someone out tonight?,Any of you want to say anything before we vote someone out tonight?
We gotta make it there as a team.,We gotta make it there as a team.
First to get that 100k.,First to get that 100k.
So that's all I have to say about that.,So that's all I have to say about that.
A team who has to vote someone out.,A team who has to vote someone out.
It is time for each tribe member to vote out the person they want to see leave.,It is time for each tribe member to vote out the person they want to see leave.
"Louisa, you're up first.","Louisa, you're up first."
I'll go tell you the votes.,I'll go tell you the votes.
"Once the votes are read, the decision is final.","Once the votes are read, the decision is final."
The person voted out will be asked to leave the Tribal Council area immediately.,The person voted out will be asked to leave the Tribal Council area immediately.
I'll read the votes.,I'll read the votes.
"First vote, Hannah.","First vote, Hannah."
"Second vote, Hannah.","Second vote, Hannah."
That's two votes Hannah.,That's two votes Hannah.
Izzy.,Izzy.
"Two votes Hannah, one vote Izzy.","Two votes Hannah, one vote Izzy."
Hannah.,Hannah.
"Three votes Hannah, one vote Izzy.","Three votes Hannah, one vote Izzy."
Hannah.,Hannah.
"Four votes Hannah, one vote Izzy.","Four votes Hannah, one vote Izzy."
First person voted out of Mogad on is Hannah.,First person voted out of Mogad on is Hannah.
You need to bring me a torch.,You need to bring me a torch.
I know the tribe has spoken.,I know the tribe has spoken.
It's time for you to bogaton tribe.,It's time for you to Mogotón tribe.
Hannah did have a final plea for you.,Hannah did have a final plea for you.
She said don't judge a book by its cover.,She said don't judge a book by its cover.
Maybe you've just done that.,Maybe you've just done that.
I know today hasn't been easy.,I know today hasn't been easy.
"Let me tell you, it's not going to get any easier.","Let me tell you, it's not going to get any easier."
One more thing.,One more thing.
Here's some exclaim.,Here's some exclaim.
Now you have fire.,Now you have fire.
"Grab your stuff, head back to camp Hermosa.","Grab your stuff, head back to camp Hermosa."
Your opposition tribe is about to enter.,Your opposition tribe is about to enter.
"I'm definitely feeling backstabbed, like I had an alliance.","I'm definitely feeling backstabbed, like I had an alliance."
"Obviously it's a game and they're gonna do that, but I don't understand what I possibly did to where he vote me out.","Obviously it's a game and they're going to do that, but I don't understand what I possibly did to where he vote me out."
Welcome to Tribal Council.,Welcome to Tribal Council.
"Just like Mogaton before you, you now have to vote out one of your own based on what you've learned about each other in just a few hours.","Just like Mogaton before you, you now have to vote out one of your own based on what you've learned about each other in just a few hours."
Let's start at the start.,Let's start at the start.
"Nathan, how do you feel about being outsmarted by your opposition tribe so early in this game?","Nathan, how do you feel about being outsmarted by your opposition tribe so early in this game?"
"We were robbed, weren't we?","We were robbed, weren't we?"
We were robbed.,We were robbed.
We were caught not thinking outside the square and I'm pretty confident as a group that won't be happening again.,We were caught not thinking outside the square and I'm pretty confident as a group that won't be happening again.
"Georgia, is this tribe too nice?","Georgia, is this tribe too nice?"
Maybe we'll have to see sort of what happens further down the track.,Maybe we'll have to see sort of what happens further down the track.
Maybe.,Maybe.
We're such a nice group of people.,We're such a nice group of people.
I.,I.
I really love this tribe.,I really love this tribe.
It's got such a good vibe.,It's got such a good vibe.
You love every single one of them?,You love every single one of them?
"Yeah, definitely.","Yeah, definitely."
For sure.,For sure.
I do.,I do.
I don't believe you.,I don't believe you.
I do.,I do.
I really do.,I really do.
"We're all different and I really, I really am so stoked with this tribe.","We're all different and I really, I really am so stoked with this tribe."
"Shannon, does everyone bring something to the table in this tribe?","Shannon, does everyone bring something to the table in this tribe?"
"Yeah, absolutely.","Yeah, absolutely."
"I mean, everyone definitely has their own strengths and we're only just starting to see that on day one.","I mean, everyone definitely has their own strengths and we're only just starting to see that on day one."
It's like the worst thing in the world to be here and to have to get rid of one of us when We've only just got started.,It's like the worst thing in the world to be here and to have to get rid of one of us when We've only just got started.
"I mean, it really, really hits ya.","I mean, it really, really hits ya."
"Can you imagine how the opposition tribe, the perhaps winning tribe must be feeling right now?","Can you imagine how the opposition tribe, the perhaps winning tribe must be feeling right now?"
They had to do the same thing.,They had to do the same thing.
Yep.,Yep.
"But I don't think too kindly of them at the moment, so I'm not too worried about that.","But I don't think too kindly of them at the moment, so I'm not too worried about that."
Why's that?,Why's that?
"Oh, just.","Oh, just."
Just the start.,Just the start.
"I mean, I didn't realise it was heroes versus Villains from day one.","I mean, I didn't realise it was heroes versus Villains from day one."
Now we know what game we're playing.,Now we know what game we're playing.
This is Survivor.,This is Survivor.
Anything goes.,Anything goes.
"Dee, you came out of the blocks firing, being more than happy to label yourself as the villain.","Dee, you came out of the blocks firing, being more than happy to label yourself as the villain."
How's your tribe reacted to that?,How's your tribe reacted to that?
I'm not sure that I labelled myself yourself a villain.,I'm not sure that I labelled myself yourself a villain.
"You ask the question if it would mean that you would succeed, would anyone be happy being the villain?","You ask the question if it would mean that you would succeed, would anyone be happy being the villain?"
I said if and maybe and succeed.,I said if and maybe and succeed.
I said yes.,I said yes.
"I did not put my hand up and say, boom, I'm the villain.","I did not put my hand up and say, boom, I'm the villain."
"How much strategy has been going on in this tribe, Lee?","How much strategy has been going on in this tribe, Lee?"
There's definitely been some discussions going around camp.,There's definitely been some discussions going around camp.
"Just gonna have to wait and see what transpires from all the discussions, I guess, that went on today.","Just going to have to wait and see what transpires from all the discussions, I guess, that went on today."
Does it feel like there have been some alliances formed?,Does it feel like there have been some alliances formed?
"Oh, to some degree there might, but not obvious.","Oh, to some degree there might, but not obvious."
If there is.,If there is.
Is it obvious to anyone else?,Is it obvious to anyone else?
"D, it's day one.","D, it's day one."
You don't know on day one.,You don't know on day one.
You made your intentions very clear right from the start.,You made your intentions very clear right from the start.
How safe are you feeling?,How safe are you feeling?
I would hope that I don't have anything to worry about.,I would hope that I don't have anything to worry about.
Doesn't mean that I'm not sitting here feeling my heart rolling.,Doesn't mean that I'm not sitting here feeling my heart rolling.
"Michael, have you seen much game playing?","Michael, have you seen much game playing?"
"Yeah, there's been a bit.","Yeah, there's been a bit."
"Just been going around while they're working, talking to each other, so.","Just been going around while they're working, talking to each other, so."
"So, yeah, okay, it is time to vote.","So, yeah, okay, it is time to vote."
"D, you're up first.","D, you're up first."
"D you're an awesome girl, but this is a tribe of heroes and you're a village.","D you're an awesome girl, but this is a tribe of heroes and you're a village."
I'll go tally the votes.,I'll go tally the votes.
"Once the votes are read, the decision is final.","Once the votes are read, the decision is final."
The person voted out will be asked to leave the Tribal Council area immediately.,The person voted out will be asked to leave the Tribal Council area immediately.
I'll read the votes.,I'll read the votes.
"First vote, D.","First vote, D."
"Second vote, D.","Second vote, D."
"Third vote, D Again.","Third vote, D Again."
Barb.,Barb.
"Three votes D, one vote Barb.","Three votes D, one vote Barb."
D.,D.
Four votes D.,Four votes D.
D One vote Barb.,D One vote Barb.
First person voted out of Mimosa tribe D.,First person voted out of Hermosa tribe D.
Need to bring me a torch.,Need to bring me a torch.
D the tribe has spoken.,D the tribe has spoken.
It's time for you to go.,It's time for you to go.
Day one of Survivor New Zealand and already a massive blind side.,Day one of Survivor New Zealand and already a massive blind side.
I did not see that one coming.,I did not see that one coming.
"Michael, here's some flint for your fire.","Michael, here's some flint for your fire."
"Oh, dear.","Oh, dear."
Head back to camp.,Head back to camp.
I'm feeling full stop.,I'm feeling full stop.
I was the first person voted out of Hermosa tribe was associated with being a villain.,I was the first person voted out of Hermosa tribe was associated with being a villain.
"And I'm not one of the older, mature, mumsy dadsy type, and I'm also not one of the young, beautiful types of.","And I'm not one of the older, mature, mumsy dadsy type, and I'm also not one of the young, beautiful types of."
I'm me.,I'm me.
I'm Diana.,I'm Diana.
Bless the world.,Bless the world.
Okay.,Okay.
I felt sick.,I felt sick.
I felt so sick.,I felt so sick.
Just from nerves that whole time.,Just from nerves that whole time.
And it's going to feel like that every single time.,And it's going to feel like that every single time.
Yeah.,Yeah.
Ready?,Ready?
"Oh, did it burn through all of it?","Oh, did it burn through all of it?"
Are you ready?,Are you ready?
Ready?,Ready?
Yeah.,Yeah.
She's away.,She's away.
It's away.,It's away.
"It's away, it's away.","It's away, it's away."
Keep on stop on this.,Keep on stop on this.
"Can you just get a stick and hold this over here, mate?","Can you just get a stick and hold this over here, mate?"
"Coming back to camp after tribal, the priority was to get a fire going with Morel a bit and also provide a valuable source of light.","Coming back to camp after tribal, the priority was to get a fire going with Morel a bit and also provide a valuable source of light."
Everyone's down cold.,Everyone's down cold.
Handy.,Handy.
"You know, she never would have seen it coming.","You know, she never would have seen it coming."
She didn't do anything wrong.,She didn't do anything wrong.
I definitely did not want to break someone that I was actually pretty good friends with.,I definitely did not want to break someone that I was actually pretty good friends with.
I guess the thought of having gone against that.,I guess the thought of having gone against that.
"Yeah, I mean, not a good feeling.","Yeah, I mean, not a good feeling."
I'm good at cooking.,I'm good at cooking.
Right.,Right.
Just let us know if you want to swap.,Just let us know if you want to swap.
I could try.,I could try.
"After our first night in the jungle, I have not slept at all.","After our first night in the jungle, I have not slept at all."
I'm a little bit concerned that we have a full day ahead of us and I have no sleep under my belt.,I'm a little bit concerned that we have a full day ahead of us and I have no sleep under my belt.
"Our shelter is a little bit small, so hoping we can expand on that today.","Our shelter is a little bit small, so hoping we can expand on that today."
I think if you just lay them so the spine goes on top of the.,I think if you just lay them so the spine goes on top of the.
"The poles, that should.","The poles, that should."
That should make the numbers.,That should make the numbers.
"You know, I don't think we've got room for seven that way.","You know, I don't think we've got room for seven that way."
One's gonna have to lie horizontal.,One's going to have to lie horizontal.
What am I expecting today is that we'll modify our shelter and then we're going to look to try and put a roof on there.,What am I expecting today is that we'll modify our shelter and then we're going to look to try and put a roof on there.
We've got to establish a toilet site and we're going to just keep bringing in that firewood because that fire is pretty important.,We've got to establish a toilet site and we're going to just keep bringing in that firewood because that fire is pretty important.
It's the best thing we've caught.,It's the best thing we've caught.
I'm pretty sure that's like straight up rotten.,I'm pretty sure that's like straight up rotten.
Eh?,Eh?
You don't want to eat it.,You don't want to eat it.
"I mean, give it a go, but, like, I just don't.","I mean, give it a go, but, like, I just don't."
"I'm pretty, like, high maintenance.","I'm pretty, like, high maintenance."
I can't eat disgusting food.,I can't eat disgusting food.
"I can do fresh fruit and a push, but definitely not rotten fruit.","I can do fresh fruit and a push, but definitely not rotten fruit."
Right.,Right.
Should I just pop it and then squeeze the juices out?,Should I just pop it and then squeeze the juices out?
That's what I'm going to do.,That's what I'm going to do.
We still don't know if it's a fruit or a vegetable or if it's a gourd or if it's a something.,We still don't know if it's a fruit or a vegetable or if it's a gourd or if it's a something.
"It's like a Massive big sist, isn't it?","It's like a Massive big sist, isn't it?"
Diarrhea or something?,Diarrhea or something?
The rotten fruit was such a bad idea.,The rotten fruit was such a bad idea.
I don't know what we were thinking.,I don't know what we were thinking.
"Oh, that's all good.","Oh, that's all good."
Could be worse.,Could be worse.
"Yeah, delicious.","Yeah, delicious."
"Easily entertained, eh?","Easily entertained, eh?"
But I need was weird.,But I need was weird.
"It tasted nice to begin with, and then all of a sudden it just tasted like rot.","It tasted nice to begin with, and then all of a sudden it just tasted like rot."
I don't know why I kept going.,I don't know why I kept going.
I'm just sort of.,I'm just sort of.
"It was day two, and already I'm that desperate that I'm eating this disgusting rotten fruit just like you're eating it.","It was day two, and already I'm that desperate that I'm eating this disgusting rotten fruit just like you're eating it."
A dead body.,A dead body.
What a bloody animal.,What a bloody animal.
I'm basically just hoping I don't get incredibly sick at this point.,I'm basically just hoping I don't get incredibly sick at this point.
"Hey, Izzy.","Hey, Izzy."
How you feeling?,How you feeling?
Better.,Better.
No.,No.
"Oh, really?","Oh, really?"
Izzy doesn't seem to be looking too great.,Izzy doesn't seem to be looking too great.
So she was throwing up last night.,So she was throwing up last night.
We just need to keep her hydrated.,We just need to keep her hydrated.
"Could be a stomach bug, lack of sleep.","Could be a stomach bug, lack of sleep."
"She's a pretty girl, but right now she looks like crap.","She's a pretty girl, but right now she looks like crap."
Would you want to go home or do you not want to?,Would you want to go home or do you not want to?
"I would want to stay, but I feel like it's almost not up to me.","I would want to stay, but I feel like it's almost not up to me."
Like my body is telling me so.,Like my body is telling me so.
You don't think you're up to it?,You don't think you're up to it?
I think my body's telling me I'm not up to it.,I think my body's telling me I'm not up to it.
Of course I don't want Izzy to go home.,Of course I don't want Izzy to go home.
"She's family, you know, she's part of our team, and we stick together and that's who we are.","She's family, you know, she's part of our team, and we stick together and that's who we are."
"You know, we all got up during the night to go check on her and take turns sitting by her side because that's what family does for one another.","You know, we all got up during the night to go check on her and take turns sitting by her side because that's what family does for one another."
"The best thing we can do, just keep anything out of someone.","The best thing we can do, just keep anything out of someone."
Give a little bit of encouragement.,Give a little bit of encouragement.
You got a bug or something?,You got a bug or something?
Or possibly psychological.,Or possibly psychological.
That's a hard one.,That's a hard one.
Eh?,Eh?
It really sucks.,It really sucks.
"And it's hard because when you're, like, in the throes of a sickness, you can't remember what it's like to be well.","And it's hard because when you're, like, in the throes of a sickness, you can't remember what it's like to be well."
"Well, I guess at the end of the day, it's her choice and we got to respect it.","Well, I guess at the end of the day, it's her choice and we got to respect it."
"Yeah, true.","Yeah, true."
Izzy's incredibly sick.,Izzy's incredibly sick.
It's hard to kind of trust your mental space when you're feeling that rough.,It's hard to kind of trust your mental space when you're feeling that rough.
I'm sure a huge part of her just wants to call it quits and go home.,I'm sure a huge part of her just wants to call it quits and go home.
I know that she really wants to play this game as well and that it would have to take a lot for her to throw in the tower.,I know that she really wants to play this game as well and that it would have to take a lot for her to throw in the tower.
"We really voted off the wrong person, didn't we?","We really voted off the wrong person, didn't we?"
"If you want to win in Survivor, you have to take the noxy on the way.","If you want to win in Survivor, you have to take the noxy on the way."
Isabelle would probably be looked upon now.,Isabelle would probably be looked upon now.
As the weekly you can't even stand up.,As the weakly you can't even stand up.
"You know, anything could happen in half an hour from now.","You know, anything could happen in half an hour from now."
We could have a challenge on and she can't even stand up.,We could have a challenge on and she can't even stand up.
And I know that I did make the wrong decision.,And I know that I did make the wrong decision.
"It should have been Izzy that should have gone, oh, crap.","It should have been Izzy that should have gone, oh, crap."
Challenge invite.,Challenge invite.
"As you've noticed by now, this game is full of surprises.","As you've noticed by now, this game is full of surprises."
And like a song or a hymn.,And like a song or a hymn.
Expect some reprises.,Expect some reprises.
But what lies ahead now is not a verse or passage repeated.,But what lies ahead now is not a verse or passage repeated.
It's an opportunity to reinstate what once was deleted.,It's an opportunity to reinstate what once was deleted.
"What we probably have, like, little bite to eat.","What we probably have, like, little bite to eat."
Shelter's looking awesome.,Shelter's looking awesome.
"I think tonight we'll, like, eat something.","I think tonight we'll, like, eat something."
We'll sleep well.,We'll sleep well.
I think we'll kind of really bounce back.,I think we'll kind of really bounce back.
Yeah.,Yeah.
So is he's feeling a little bit better.,So is he's feeling a little bit better.
"She said to me, even if she pulls through, if it comes to us losing a challenge to dry ball, then she'll talk to us.","She said to me, even if she pulls through, if it comes to us losing a challenge to dry ball, then she'll talk to us."
It's just about loading her out so she can go home.,It's just about loading her out so she can go home.
"What will happen to challenge me now knows after day one, anything can happen.","What will happen to challenge me now knows after day one, anything can happen."
"Forget about last night, forget about yesterday.","Forget about last night, forget about yesterday."
We go in there today and all we want to do is obliterate the opposition.,We go in there today and all we want to do is obliterate the opposition.
"Come on in, guys.","Come on in, guys."
"Take a seat over there, guys.","Take a seat over there, guys."
Both teams getting a look at the new tribes.,Both teams getting a look at the new tribes.
Hannah and Dee voted out at last night's Tribal Councils.,Hannah and Dee voted out at last night's Tribal Councils.
"I can do this one, mate.","I can do this one, mate."
"You know you've got to be good at tying tight knock and come on in, guys.","You know you've got to be good at tying tight knock and come on in, guys."
Feel like absolute.,Feel like absolute.
"When I see Hannah walk out, I look straight in the eye, but obviously people are very embarrassed.","When I see Hannah walk out, I look straight in the eye, but obviously people are very embarrassed."
Here's a lovely girl you blindsided last night.,Here's a lovely girl you blindsided last night.
They look really angry and they should.,They look really angry and they should.
"I mean, I'd be just as angry if I was voted off and had to walk in and see my tribe again.","I mean, I'd be just as angry if I was voted off and had to walk in and see my tribe again."
Welcome to Redemption Island.,Welcome to Redemption Island.
"Oh, God.","Oh, God."
