Sentence,Translation,English Translation,Error,Explanation 
"The whole principle is, if you're gonna steal, then you gotta live with the consequences of looking like a bit of a villain.","Il principio e' che se devi rubare, allora devi vivere con le conseguenze di sembrare un po' un cattivo.","The principle is, if you have to steal, then you have to live with the consequences of looking a little bad.",,
"Isabelle, what was that about?","Isabelle, di che si trattava?","Isabelle, what was this about?",,
"I think a knife is essential, and if you didn't have that, I couldn't imagine going into the bush without one.","Penso che un coltello sia essenziale, e se non ce l'avessi, non potrei immaginare di andare nel cespuglio senza.","I think a knife is essential, and if I didn't have it, I couldn't imagine going to the bush without it.",,
"Isabelle, you're being nice right off the bat.","Isabelle, ti stai comportando bene.","Isabelle, you're doing well.",,
Yeah.,Si'.,Yeah.,,
I'm confused by your strategy.,Sono confuso dalla tua strategia.,I'm confused by your strategy.,,
"Well, I have morals and I have a moral compass as well, and so, you know, I feel bad for them as well.","Beh, io ho la morale e ho anche una bussola morale, quindi, sai, mi dispiace anche per loro.","Well, I have morals, and I also have a moral compass, so, you know, I feel bad for them, too.",,
"It is a game at the end of the day, and it was just part of the strategy.","Si tratta di un gioco alla fine della giornata, ed era solo parte della strategia.","It's a game at the end of the day, and it was just part of the strategy.",,
"Awesome, mate.","Fantastico, amico.","That's great, man.",,
This is the beach.,Questa è la spiaggia.,This is the beach.,,
This is wicked Little Point break over there.,Questa e' una pausa malvagia per Little Point laggiu'.,This is an evil break for Little Point over there.,,
Tom.,Tom.,Tom.,,
"Yeah, Mike.","Si', Mike.","Yeah, Mike.",,
This is our home for the next however long.,Questa è la nostra casa per il prossimo per quanto a lungo.,This is our home for the next one for as long as it is.,,
"Guys walking together, we're all really stoked, you know, for winning and we're just carrying all our goods and we're looking out in the ocean, you see these pelicans and you realize we're not in South Auckland anymore.","Ragazzi che camminano insieme, siamo tutti entusiasti, sapete, per aver vinto e stiamo solo trasportando tutta la nostra merce e stiamo guardando fuori nell'oceano, vedete questi pellicani e vi rendete conto che non siamo piu' nel sud di Auckland.","Guys walking together, we're all excited, you know, for winning and we're just carrying all our merchandise and we're looking out into the ocean, you see these pelicans and you realize we're not in South Auckland anymore.",,
Nice.,Bene.,Good.,,
"As soon as we saw our flag, we knew, oh, this is home base.","Appena abbiamo visto la nostra bandiera, sapevamo, oh, questa e' la base.","As soon as we saw our flag, we knew, oh, this is the base.",,
"Yeah, it's sunk in.","Si', e' affondata.","Yeah, it's sunk.",,
We're here.,Siamo qui.,We're here.,,
"One, two, three.","Uno, due, tre.","One, two, three.",,
We'll go over here in the shade and we'll just get out of the sailing.,Andremo qui all'ombra e usciremo dalla vela.,We're gonna go in the shade and get out of the sail.,,
We'll have a quick chat and we'll get into it.,Faremo una chiacchierata veloce e ne parleremo.,We'll have a quick chat and we'll talk about it.,,
You leave all your gear here.,Lasciate qui tutta la vostra roba.,Leave all your stuff here.,,
"Okay, guys, just a suggestion.","Ok, ragazzi, solo un suggerimento.","Okay, guys, just a suggestion.",,
"I've got a bit of experience working in bush like this, how to set up a camp, toilet and all the rest of it.","Ho un po' di esperienza a lavorare in un cespuglio come questo, come organizzare un campo, un bagno e tutto il resto.","I have a little experience working in a bush like this, how to organize a field, a bathroom and everything.",,
"But we're a team and I think if we play together, everybody's got input, a bit of a say on what goes on, eh?","Ma siamo una squadra e penso che se giochiamo insieme, tutti hanno un input, un po' di voce su cosa succede, eh?","But we're a team, and I think if we play together, everyone has an input, a little voice about what happens, huh?",,
Old coral Matuatoni.,Vecchio corallo Matuatoni.,Old coral Matuatoni.,,
"Yeah, man, he's the man.","Si', amico, e' lui l'uomo giusto.","Yeah, man, he's the man.",,
"He's got a lot of experience, man, a lot of knowledge, and he's not shy to share it.","Ha molta esperienza, amico, molta conoscenza, e non e' timido a condividerla.","He's got a lot of experience, man, a lot of knowledge, and he's not shy to share it.",,
"Just remember, when you're working around in this environment, although it may look open every time you go to touch something, give it a bit of a kick or find yourself a stick and give it a bit of a shuffle, because there's always going to be something around and more so when it gets dark.","Basta ricordare, quando si sta lavorando in questo ambiente, anche se può sembrare aperto ogni volta che si va a toccare qualcosa, dare un po 'di un calcio o trovare un bastone e dare un po 'di un mischia, perché ci sarà sempre qualcosa intorno e di più così quando si fa buio.","Just remember, when you are working in this environment, although it may seem open every time you go to touch something, give some of a kick or find a stick and give some of a mix, because there will always be something around and more so when it gets dark.",,
I don't mind being a leader at all.,Non mi dispiace affatto essere un leader.,I don't mind being a leader at all.,,
I do have a considerable amount of experience and I will use that in every way I can to benefit this tribe.,Ho una notevole esperienza e la utilizzerò in ogni modo possibile per beneficiare questa tribù.,I have a remarkable experience and I will use it in every way possible to benefit this tribe.,,
They send me as valuable as part of my plan anyway.,Mi mandano comunque come parte del mio piano.,They still send me as part of my plan.,,
Make yourself valuable.,Renditi prezioso.,Make yourself valuable.,,
Don't be just a extra body on the ground.,Non essere solo un cadavere in piu' per terra.,Don't just be an extra body on the floor.,,
"If we can all just have a look around the general area and we'll Just bring it all in and then we'll see what we got and figure out what we're going to build, eh?","Se potessimo dare un'occhiata all'area generale e portarci tutto dentro, e poi vedremo cos'abbiamo e capire cosa costruiremo, eh?","If we could take a look at the general area and take it all in, and then we'll see what we have and figure out what we're gonna build, huh?",,
Alright.,Va bene.,Okay.,,
The first thing that I noticed about the tribe members is that that a lot of people are standoffish and I'm wondering if it's because of Tony being so direct.,La prima cosa che ho notato sui membri della tribu' e' che molta gente e' in gamba e mi chiedo se e' perche' Tony e' cosi' diretto.,"The first thing I noticed about the tribe members is that a lot of people are smart, and I wonder if it's because Tony is so direct.",,
"As soon as we walk in, he knew what he thought we needed to do, who was in charge and so we kind of let it happen.","Appena siamo entrati, sapeva cosa pensava che dovessimo fare, chi era il capo e quindi abbiamo lasciato che accadesse.","As soon as we got in, he knew what he thought we were gonna do, who was the boss, so we let it happen.",,
Yeah.,Si'.,Yeah.,,
You've got some stuff a bit rotten.,Hai un po' di roba marcia.,You got some bad stuff.,,
"Give it a good kick first, eh?","Dagli un bel calcio prima, eh?","Kick him first, huh?",,
Yeah.,Si'.,Yeah.,,
"Tony, were you thinking just to build our actual structure in this little area here?","Tony, stavi pensando di costruire la nostra vera struttura in questa piccola zona?","Tony, were you planning on building our real facility in this small area?",,
Yeah.,Si'.,Yeah.,,
I don't mind Tony taking a leadership role in this truck.,Non mi dispiace che Tony abbia un ruolo di leader in questo furgone.,I'm not sorry that Tony has a leading role in this truck.,,
"Kind of takes the focus off me a little bit, I guess.","Mi toglie un po' la concentrazione, immagino.","It takes my focus off a little bit, I guess.",,
"No, no.","No, no.","No, no.",,
We'll just try and overlap and then I can show you how to try Square lash.,Cercheremo solo di sovrapporsi e poi vi mostrerò come provare la frusta quadrata.,We'll just try to overlap and then I'll show you how to try the square whip.,,
Yeah.,Si'.,Yeah.,,
Could you take it?,Puoi prenderlo?,Can you get it?,,
Yeah.,Si'.,Yeah.,,
To that far that.,Fino a questo punto.,To this point.,,
Onto that one.,A quella.,That one.,,
I had a better idea.,Ho avuto un'idea migliore.,I had a better idea.,,
Yeah.,Si'.,Yeah.,,
"Okay, guys, we need to site the toilet away from our camp but not too far away that, you know, if the girls will want to come down here.","Ok, ragazzi, dobbiamo sistemare il water lontano dal nostro campo, ma non troppo lontano, se le ragazze vogliono venire qui.","Okay, guys, we need to fix the toilet away from our camp, but not too far if the girls want to come here.",,
They're not going to find it the way off in the bush and they get lost and maybe get bitten by something.,"Non la troveranno nel cespuglio, si perdono e magari si fanno mordere da qualcosa.","They're not gonna find her in the bush, they get lost, and maybe they get bitten by something.",,
So I think we'll use this initially.,Quindi penso che lo useremo all'inizio.,So I think we'll use it at first.,,
We'll dig one here.,Ne scaveremo uno qui.,We'll dig one here.,,
"I mean, we'll dig it deep enough for about two or three days.","Cioe', lo scaveremo abbastanza in profondita' per circa due o tre giorni.","I mean, we're gonna dig it deep enough for about two or three days.",,
"So you probably want to hole about say, two feet deep.","Quindi probabilmente vorrai fare un buco per dire, un metro e mezzo di profondita'.","So you're probably gonna want to make a hole in your mouth, six feet deep.",,
Yeah.,Si'.,Yeah.,,
"See, I'll go get him a shitty.",Vado a prendergli una merda.,I'm gonna go get him some shit.,,
"I mean, Tony's here because he loves it.","Cioe', Tony e' qui perche' lo adora.","I mean, Tony's here because he loves it.",,
I think he's.,Penso di si'.,I think so.,,
"He's here for the experience like, so I don't see him as a huge threat.","E' qui per l'esperienza, quindi non lo vedo come una minaccia enorme.","He's here for the experience, so I don't see him as a huge threat.",,
Yeah.,Si'.,Yeah.,,
"I want to try and, you know, side of him and still keep him close.","Voglio provare a... sai, dargli un lato e tenerlo comunque vicino.","I want to try, you know, give him a side and keep him close.",,
I knew I've got stuff to learn off a dude like that.,Sapevo di avere delle cose da imparare da un tipo del genere.,I knew I had things to learn from a guy like that.,,
He's cool.,E' a posto.,It's okay.,,
"How's the loo going, Tom?","Come va il bagno, Tom?","How's the bathroom, Tom?",,
Just clearing it out.,Lo sto solo ripulindo.,I'm just cleaning it up.,,
Have you talked to Lou?,Hai parlato con Lou?,Did you talk to Lou?,,
Not really.,Non proprio.,Not really.,,
I just.,E' solo che...,It's just...,,
We.,Noi.,Us.,,
I think we've all agreed on Hannah.,Penso che siamo tutti d'accordo su Hannah.,I think we all agree on Hannah.,,
Yeah.,Si'.,Yeah.,,
Okay.,Ok.,Okay.,,
Yeah.,Si'.,Yeah.,,
My biggest concern going into tribal would be that I get blindsided.,La mia preoccupazione piu' grande per entrare nella tribale e' che mi lasci alla sprovvista.,My biggest concern to get into the tribal is to let me off guard.,,
"I don't know these people yet and there's always going to be doubt, but this first day there's a lot of doubt.","Non conosco ancora queste persone e ci saranno sempre dei dubbi, ma questo primo giorno c'e' un sacco di dubbio.","I don't know these people yet, and there's always gonna be doubts, but there's a lot of doubt about this first day.",,
I wanted to kill it so we can have it for our dinner.,Volevo ucciderlo cosi' possiamo mangiarlo per cena.,I wanted to kill him so we could eat him for dinner.,,
I don't want it to claw me.,Non voglio che mi aggrappi.,I don't want you holding on to me.,,
"It might just claw onto your sticker, then you can carry it.","Potrebbe solo attaccare il tuo adesivo, cosi' potrai portarlo.",It could just attach your sticker so you can bring it.,,
I caught up dinner.,Ho recuperato la cena.,I got dinner back.,,
Yeah.,Si'.,Yeah.,,
It's more like an entree.,E' piu' un'antipasto.,It's more of an appetizer.,,
Eh.,Eh.,Eh.,,
Entree.,Entreee.,Entree.,,
"Tom was just like, I'm really impressed with why you just like we're bossing that challenge and just like throwing Your body on there and you're looking pretty strong.","Tom era tipo, sono davvero impressionato dal perche' tu, come stiamo dando ordini a quella sfida e proprio come gettare il tuo corpo li' e sembri piuttosto forte.","Tom was like, I'm really impressed with why you, how we're giving orders to that challenge and just like throwing your body there and you look pretty strong.",,
"I was like, bro, I told you I was a powerlifter and you just immediately wrote me off and like, fat girl not gonna be strong.","Ero tipo, fratello, ti ho detto che ero un powerlifter e tu mi hai immediatamente cancellato e tipo, la ragazza grassa non sara' forte.","I was like, bro, I told you I was a powerlifter, and you immediately erased me, and like, the fat girl's not gonna be strong.",,
Gonna be the weakling.,Sara' il debole.,He'll be the weak one.,,
My immediate reaction with boating would be Tom.,La mia reazione immediata con la nautica sarebbe Tom.,My immediate reaction with the boating would be Tom.,,
I think he could be quite dangerous.,Penso che potrebbe essere molto pericoloso.,I think it could be very dangerous.,,
I'm a little bit worried what he could do.,Sono un po' preoccupato per quello che potrebbe fare.,I'm a little worried about what he might do.,,
"He was part of an alliance, like.","Faceva parte di un'alleanza, tipo.","It was part of an alliance, like.",,
Yeah.,Si'.,Yeah.,,
One that was naturally created before the tribes were announced.,Uno che è stato creato naturalmente prima che le tribù sono state annunciate.,One that was created naturally before the tribes were announced.,,
Yeah.,Si'.,Yeah.,,
First person on my hit list is Tom.,La prima persona nella mia lista e' Tom.,The first person on my list is Tom.,,
"I mean, I have to say it, he's a threat because I know he has some strong people that he's quite close with from the other tribe.","Voglio dire, devo dirlo, e' una minaccia perche' so che ha delle persone forti con cui e' molto legato dall'altra tribu'.","I mean, I have to say, it's a threat because I know he has strong people that he's very close to from the other tribe.",,
You have to look out for people who might potentially send you home.,Devi badare alle persone che potrebbero mandarti a casa.,You need to look after the people who could send you home.,,
And he's one of those people.,Ed e' una di quelle persone.,And she's one of those people.,,
"But I just really think Tom just because he, for me, he seems unpredictable.","Ma penso davvero che Tom solo perche' lui, per me, sembra imprevedibile.",But I really think Tom just because he seems unpredictable to me.,,
Like you don't know what side.,Come se non sapessi da che parte stare.,Like I don't know which side to be on.,,
"No, I don't know where his loyals.","No, non so dove siano i suoi fedeli.","No, I don't know where his faithful are.",,
He's real cool.,E' davvero figo.,It's really cool.,,
"Like, he's a real decent guy.",E' davvero un bravo ragazzo.,He's a really good guy.,,
"But in terms of strategy, once you stick with someone, like that's it, you're there.","Ma in termini di strategia, una volta che si rimane con qualcuno, come se fosse cosi', ci si trova li'.","But in terms of strategy, once you stay with someone, like that, you're there.",,
I will be voting for Tom tonight because I don't find him 100% trustworthy.,Stasera votero' per Tom perche' non lo trovo affidabile al 100%.,I'm voting for Tom tonight because I don't find him 100% reliable.,,
"Well, are you okay with it as long as you don't turn around and.","Beh, ti sta bene finche' non ti giri e...","Well, it looks good on you until you turn around and...",,
"No, like, for sure.","No, certo.","No, of course.",,
100%.,Al 100%.,100%.,,
Thank you.,Grazie.,Thank you.,,
Promise.,Te lo prometto.,I promise.,,
Okay.,Ok.,Okay.,,
I'm good with it.,A me sta bene.,I'm okay with that.,,
Tom has to go and Izzy and Hannah agree.,Tom deve andare e Izzy e Hannah sono d'accordo.,Tom has to go and Izzy and Hannah agree.,,
"Guys, we have to come back with something.","Ragazzi, dobbiamo tornare con qualcosa.","Guys, we gotta get back with something.",,
Otherwise it just looks dodgy.,Altrimenti sembra un po' strano.,"Otherwise, it sounds a little weird.",,
"Bro, bro, bro.","Fratello, fratello, fratello.","Brother, brother, brother.",,
Coming through.,Sto arrivando.,I'm on my way.,,
"Oh, this is going to be a mean fire by the time we're done right here.","Oh, questo sara' un brutto incendio per quando avremo finito qui.","Oh, this is gonna be a bad fire by the time we're done here.",,
You're insane.,Sei pazzo.,You're crazy.,,
Eh.,Eh.,Eh.,,
Woohoo.,Woohoo.,Woohoo.,,
Oh my God.,"Oh, mio Dio.","Oh, my God.",,
Look at this.,Guarda qui.,Look at this.,,
"Oh, yeah.","Oh, si'.","Oh, yeah.",,
Yeah.,Si'.,Yeah.,,
Look at you.,Ma guardati.,Look at you.,,
I promise my greatest strength to this tribe would be my strength.,Prometto che la mia piu' grande forza per questa tribu' sara' la mia forza.,I promise my greatest strength for this tribe will be my strength.,,
"So I was picking up boulders and not boulders, but really big rocks and bringing them over.","Quindi stavo raccogliendo massi e non massi, ma rocce davvero grandi e li portavo qui.","So I was collecting boulders and not boulders, but really big rocks and bringing them here.",,
I'd like to say it was a boulder.,Vorrei dire che era un masso.,I'd like to say it was a rock.,,
"I'm like, this is Hannah's pile.",E' la pila di Hannah.,It's Hannah's stack.,,
"Oh, it actually is.","Oh, in realta' si'.","Oh, actually, I do.",,
I think Hannah is strong as hell mentally and physically.,Penso che Hannah sia forte mentalmente e fisicamente.,I think Hannah's strong mentally and physically.,,
She's really tough.,E' davvero tosta.,She's really tough.,,
I just know that there's a lot of very physical group challenges coming up and no team wants to be slowed down at all.,So solo che ci sono un sacco di sfide di gruppo molto fisiche in arrivo e nessuna squadra vuole essere rallentata affatto.,All I know is that there are a lot of very physical group challenges coming up and no team wants to be slowed down at all.,,
"So basically me, Izzy and Hannah have discussed writing Tom out just because, like, he's an easy threat.","Quindi praticamente io, Izzy e Hannah abbiamo discusso di scrivere a Tom solo perche' e' una minaccia facile.",So basically Izzy and Hannah discussed writing to Tom just because it's an easy threat.,,
Yeah.,Si'.,Yeah.,,
Both AI and Tom on the same page.,Sia IA che Tom alla stessa svelta.,Both A and Tom at the same time.,,
You're thinking of Hannah as well.,Stai pensando anche ad Hannah.,"You're thinking about Hannah, too.",,
A Hannah because of the challenges.,Una Hannah a causa delle sfide.,Hannah because of the challenges.,,
That's a surprise to me cuz she's part of my original alliance.,"E' una sorpresa per me, perche' fa parte della mia alleanza originale.","It's a surprise to me, because it's part of my original alliance.",,
I'm not very happy with this new development.,Non sono molto soddisfatto di questo nuovo sviluppo.,I am not very satisfied with this new development.,,
"Isabella, of course he didn't like how she just gave way up.","Isabella, ovviamente non gli e' piaciuto il modo in cui si e' arresa.","Isabella, he obviously didn't like the way she gave up.",,
He didn't like how.,Non gli è piaciuto.,He didn't like it.,,
What she gave way up.,Quello che ha abbandonato.,The one he abandoned.,,
She didn't say.,Non l'ha detto.,He didn't say.,,
I think Tom's feeling the pressure and maybe in desperation is trying to point the finger at somebody else.,Penso che Tom senta la pressione e forse nella disperazione sta cercando di puntare il dito contro qualcun altro.,I think Tom feels pressure and maybe in despair he's trying to point his finger at someone else.,,
"He's thinking, you know, she's already thinking past now.","Sta pensando, sai, che sta gia' pensando al passato.","He's thinking, you know, he's already thinking about the past.",,
I think that we should stick to the plan because Tom's an absolute threat.,Penso che dovremmo attenerci al piano perche' Tom e' una minaccia assoluta.,I think we should stick to the plan because Tom is an absolute threat.,,
But ultimately my most solid alliance would be Osana.,Ma alla fine la mia alleanza più solida sarebbe Osana.,"But in the end, my strongest alliance would be Osana.",,
That's kind of what I'm going with right now.,E' proprio quello che sto cercando di fare in questo momento.,That's exactly what I'm trying to do right now.,,
So.,Allora...,So...,,
"So Hannah or Izzy or Hannah, what do you think?","Allora, Hannah o Izzy o Hannah, che ne pensi?","So, Hannah or Izzy or Hannah, what do you think?",,
I'm just waiting for an A cuz I don't know where the numbers are.,"Sto solo aspettando un ""A cuz"" che non so dove siano i numeri.",I'm just waiting for an A Cuz that I don't know where the numbers are.,,
I think we should lock one in so we don't keep talking about it so we can get work done.,Penso che dovremmo chiuderne uno in modo da non continuare a parlarne cosi' possiamo finire il lavoro.,I think we should close one so we don't keep talking about it so we can finish the job.,,
"I don't know if you guys realize, but Hannah's been doing a lot more work than Izzy.","Non so se ve ne rendete conto, ma Hannah sta facendo molto piu' lavoro di Izzy.","I don't know if you realize this, but Hannah's doing a lot more work than Izzy.",,
"Yeah, I think she's.","Si', credo di si'.","Yeah, I think so.",,
She's probably like proving herself.,Probabilmente e' come dimostrare se stessa.,It's probably like proving herself.,,
"Hey, like that's the point of it.","Ehi, come se fosse questo il punto.","Hey, like that's the point.",,
Yeah.,Si'.,Yeah.,,
"So Tom, either ones, Hannah out or Izzy out, which makes me a horrible person.","Quindi Tom, o quelli, Hannah o Izzy, il che mi rende una persona orribile.","So Tom, or those, Hannah or Izzy, which makes me a horrible person.",,
I want to be the good person.,Voglio essere la brava persona.,I want to be the good person.,,
It does the decent thing.,Fa la cosa giusta.,He does the right thing.,,
And then I want to be a Survivor.,E poi voglio essere un sopravvissuto.,And then I want to be a survivor.,,
So you almost can't play the two at the same time.,Quindi quasi non riesci a suonare i due allo stesso tempo.,So you almost can't play the two at the same time.,,
"Just let me know, eh?","Fammi sapere, ok?","Let me know, okay?",,
Let me know.,Fammi sapere.,Let me know.,,
"Hey, guys, before we start dragging somewhere, can we pick the somewhere?","Ehi, ragazzi, prima di iniziare a trascinarci da qualche parte, possiamo scegliere da qualche parte?","Hey, guys, before we start dragging ourselves somewhere, can we pick somewhere?",,
So where's home?,"Allora, dov'e' casa?","So, where's home?",,
Closer to the beach.,Piu' vicino alla spiaggia.,Closer to the beach.,,
Don't want to be too far in here.,Non voglio essere troppo lontano qui dentro.,I don't want to be too far in here.,,
"As I say, you've got to pick a side and then we just get a.","Come ho detto, devi scegliere da che parte stare e poi prendiamo solo una.","Like I said, you have to choose which side to stand on, and then we just take one.",,
So we reckon just over here.,Quindi pensiamo proprio qui.,So we're thinking right here.,,
So it's quite like just behind our flag.,Quindi e' proprio dietro la nostra bandiera.,So it's right behind our flag.,,
We go there?,Ci andiamo?,Shall we go?,,
Yep.,Si'.,Yeah.,,
Okay.,Ok.,Okay.,,
Just where?,Dove?,Where?,,
Okay.,Ok.,Okay.,,
So that goes there.,Quindi questo va li'.,So this goes there.,,
Yeah.,Si'.,Yeah.,,
My preparation for Survivor didn't start the day that I found out I was going to be on Survivor.,La mia preparazione per il sopravvissuto non e' iniziata il giorno in cui ho scoperto che sarei stato al Survivor.,My preparation for the survivor didn't start the day I found out I'd be at Survivor.,,
It started the day that I found out Survivor was coming to New Zealand.,E' iniziato il giorno in cui ho scoperto che Survivor sarebbe venuto in Nuova Zelanda.,It started the day I found out Survivor was coming to New Zealand.,,
"So I got to the point where I could run, I could swim.","Cosi' sono arrivato al punto in cui potevo correre, potevo nuotare.","So I got to the point where I could run, I could swim.",,
I was juggling.,Stavo giocando.,I was playing.,,
I was standing on one foot.,Ero in piedi su un piede solo.,I was standing on one foot.,,
I have held my arm up in the air for as long as I possibly can.,Ho tenuto il braccio in alto per tutto il tempo che potevo.,I held my arm up for as long as I could.,,
And I started meditating and thinking about how I was going to act nice and how I was going to convince people that I was a pleasant person.,E ho iniziato a meditare e a pensare a come avrei agito bene e a come avrei convinto le persone che ero una persona piacevole.,And I started to meditate and think about how I would do well and how I would convince people that I was a pleasant person.,,
Have either of you thought at all that maybe it wasn't the best idea for three of us to go off and leave five behind?,Qualcuno di voi ha pensato che forse non era l'idea migliore per tre di noi di uscire e lasciarne indietro cinque?,Did any of you think that maybe it wasn't the best idea for three of us to go out and leave five behind?,,
Risky?,Rischioso?,Risky?,,
No.,No.,No.,,
"I think if we're worried about that, then it's us three and try and get two more in.","Penso che se siamo preoccupati per questo, allora siamo noi tre e cerchiamo di averne altri due dentro.","I think if we're worried about this, then it's the three of us and we're trying to get two more inside.",,
That's gonna.,Cosi' va bene.,That's good.,,
"Oh, I think Barb.","Oh, credo Barb.","Oh, I think Barb.",,
"Barb surely would want to come with the girls, but who knows?","Barb vorrebbe venire con le ragazze, ma chi lo sa?","Barb would like to come with the girls, but who knows?",,
But do we want a whole girl alone?,Ma vogliamo una ragazza intera da sola?,But do we want a whole girl alone?,,
No.,No.,No.,,
Because the boys will never flip.,Perche' i ragazzi non cambieranno mai idea.,'Cause the kids are never gonna change their minds.,,
They'll just try grab one of us.,Proveranno a prendere uno di noi.,They're gonna try to get one of us.,,
So what do you reckon?,"Allora, che ne pensi?","So, what do you think?",,
I do want to rush into an alliance straight away.,Voglio entrare subito in un'alleanza.,I want to join an alliance right now.,,
"As soon as I got to camp I was looking around at my tribe thinking alright, come on, who can I trust?","Appena sono arrivato al campo stavo guardando la mia tribu' pensando bene, andiamo, di chi posso fidarmi?","As soon as I got to the camp, I was looking at my tribe thinking well, come on, who can I trust?",,
Dee has spoken to Shannon and I but I'm a little bit wary of her at this point so I'm not sure how I am feeling about D.,"Dee ha parlato con me e Shannon, ma a questo punto sono un po' diffidente di lei, quindi non so cosa provo per D.","Dee talked to me and Shannon, but at this point, I'm a little wary of her, so I don't know how I feel about D.",,
"You, the sex appeal.","Tu, il sex appeal.","You, the sex appeal.",,
You two need to get in a couple of those.,Voi due dovete farne un paio.,You two need to make a couple.,,
"Well, we can try.","Beh, possiamo provarci.","Well, we can try.",,
I don't know how well that's going to work for me.,Non so quanto possa funzionare per me.,I don't know how much this is gonna work for me.,,
I'm just not too sure about D.,E' solo che non sono molto sicuro di D.,I'm just not really sure about D.,,
I trust Georgia.,Mi fido della Georgia.,I trust Georgia.,,
I'm not sure how much I can trust D at this point.,Non so quanto posso fidarmi di D a questo punto.,I don't know how much I can trust D at this point.,,
We'll talk to you later.,Ci sentiamo dopo.,I'll talk to you later.,,
"Yeah, yeah, we'll find a time, you know, someone like that.","Si', si', troveremo un momento, sai, qualcuno del genere.","Yeah, yeah, we'll find a moment, you know, someone like that.",,
I don't know whether I do want to have them in my alliance right from the get go though.,Non so se voglio averli nella mia alleanza fin dall'inizio.,I don't know if I want to have them in my alliance from the start.,,
It's just going to add a whole other level of paranoia to the game.,Aggiungera' un altro livello di paranoia al gioco.,It'll add another level of paranoia to the game.,,
We have to get D off obviously.,"Dobbiamo togliere la D, ovviamente.","We need to remove the D, of course.",,
Right.,Giusto.,Right.,,
Is anyone else thinking that?,Qualcun altro lo sta pensando?,Is anyone else thinking that?,,
"Yeah, sure.","Si', certo.","Yeah, sure.",,
I'm hoping to get Michael on my side.,Spero di mettere Michael dalla mia parte.,I hope to put Michael on my side.,,
I think he would be an awesome alive alliance.,Penso che sarebbe una fantastica alleanza viva.,I think it would be a great living alliance.,,
He looks very fit and I think he is quite bright as well.,Sembra molto in forma e penso che anche lui sia piuttosto brillante.,"He looks really good, and I think he's pretty bright, too.",,
So I think he's quite an all rounder player.,Quindi penso che sia un giocatore rotondo.,So I think he's a round player.,,
"We went off and Shannon was like, oh my God, we've left all those guys by themselves together.","Siamo partiti e Shannon ha detto: ""Oh mio Dio, abbiamo lasciato tutti quei ragazzi da soli.""","We left and Shannon said, ""Oh, my God, we left all those kids alone.""",,
This is not good.,Non va bene.,That's not good.,,
"Definitely probably going to keep my eye on Georgia a little bit, I think and definitely see her giving those eyes to Mike.","Probabilmente terro' d'occhio la Georgia un po', penso e sicuramente la vedro' dare quegli occhi a Mike.","I'm probably gonna keep an eye on Georgia a little bit, I think, and I'm sure I'll see her give those eyes to Mike.",,
I don't know what's going to happen there but I definitely just got to be wary of that.,"Non so cosa succedera' li', ma devo proprio diffidare di questo.","I don't know what's gonna happen there, but I really have to be wary of this.",,
Don't like villains.,Non mi piacciono i cattivi.,I don't like bad guys.,,
You don't like what the villains?,Non ti piace quello che i cattivi?,You don't like what the bad guys do?,,
No.,No.,No.,,
"As soon as she put up the hand for the felon, I was like, all right, you're out.","Appena ha alzato la mano per il criminale, ho detto, va bene, sei fuori.","As soon as he raised his hand for the criminal, I said, all right, you're out.",,
Like I don't want someone around camp that's going to start.,Come se non volessi qualcuno intorno al campo che iniziera'.,Like I don't want someone around the camp that's gonna start.,,
Get what I mean?,Capisci cosa intendo?,You know what I mean?,,
"Yep, yep.","Si', si'.","Yeah, yeah.",,
And I'm a man of my word.,E io sono un uomo di parola.,And I'm a man of my word.,,
You're a man of your word?,Sei un uomo di parola?,Are you a man of your word?,,
Yep.,Si'.,Yeah.,,
"So I was thinking me, you, Shannon and Georgia teamed up because you seem like a very honest person and I am as well if us four teamed up and yeah, my daily final four.","Quindi stavo pensando che io, tu, Shannon e Georgia ci siamo unite perche' sembri una persona molto onesta e lo sono anche se noi quattro ci siamo unite e si', le mie ultime quattro del giorno.","So I was thinking that you, me, you, Shannon and Georgia joined because you seem like a very honest person, and they are, even though the four of us have joined together and yes, my last four of the day.",,
"So yeah, have a think about that proposition.","Quindi si', pensa a quella proposta.","So, yeah, think about that proposal.",,
So I'm a senior sergeant with the police.,Quindi sono un sergente anziano della polizia.,So I'm an old police sergeant.,,
I've spoken to people for nearly 20 years who've been not telling me the truth.,Ho parlato con persone per quasi 20 anni che non mi hanno detto la verita'.,I've been talking to people for almost 20 years who haven't told me the truth.,,
One of the skill sets that I'll have that the others won't have will be picking up on the little cues and vibes and mannerisms around what they do and versus what they say and we'll Keep those long because we can weave those.,Uno dei set di abilità che avrò che gli altri non avranno raccoglieranno i piccoli spunti e vibrazioni e manierismi intorno a quello che fanno e contro quello che dicono e li terremo a lungo perché possiamo tesserli.,One of the sets of skills that I'll have that others won't have will pick up the small cues and vibrations and mannerisms around what they do and against what they say and we'll keep them for a long time so we can weave them.,,
I think we should do D because she's a 100 stir.,Penso che dovremmo fare D perche' e' un centone.,I think we should do D because it's a hundred.,,
