Sentence,POS_Tags,TF_IDF,Sentiment_Score,Custom_Embeddings,Sentence_Length
You've got to kind of watch how he is.,"[(""You've"", 'PRP'), ('got', 'VBD'), ('to', 'TO'), ('kind', 'NN'), ('of', 'IN'), ('watch', 'NN'), ('how', 'WRB'), ('he', 'PRP'), ('is.', 'VBZ')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-0.01094928  0.01783503  0.00450954 -0.0028648   0.0129767  -0.03804433
  0.01417123  0.04331525 -0.01493162 -0.01732982 -0.00888799 -0.03149018
 -0.00693893  0.01127307  0.00629638 -0.01575126  0.00435849 -0.01263363
 -0.00123808 -0.04075946  0.01122945  0.01313355  0.01433506 -0.010884
 -0.00221153  0.00262883 -0.00821839 -0.00878223 -0.03069962  0.00585751
  0.02875878 -0.00615672  0.00358415 -0.02350841 -0.01099126  0.02013143
  0.01622601 -0.00946765 -0.00839676 -0.02799292  0.01137235 -0.0172226
 -0.01355433  0.00193092  0.02518346 -0.00303965 -0.01501333 -0.0058751
  0.01576784  0.01298946  0.01016183 -0.01612334  0.00035226 -0.00232942
 -0.01717434  0.01339047  0.0059696  -0.00170988 -0.01674286  0.00398911
  0.00435382  0.00210607  0.00859779 -0.01009617 -0.01421128  0.01961086
  0.01382542  0.01727102 -0.02491961  0.02545723 -0.01601085  0.01406237
  0.02268849  0.00315665  0.02549404  0.01276798 -0.00029995 -0.00209501
 -0.01558384 -0.00226312 -0.01308293  0.00403684 -0.01813034  0.02628454
 -0.00702386 -0.0072523   0.00660932  0.0159538   0.01778299  0.00608118
  0.03087982  0.01391621  0.00476662  0.00195117  0.03251563  0.01837636
  0.01468829 -0.01614618 -0.00745819 -0.00268377]",9
He's thinking we're just going to get voted off because we're old.,"[(""He's"", 'PRP'), ('thinking', 'VBG'), (""we're"", 'PRP'), ('just', 'RB'), ('going', 'VBG'), ('to', 'TO'), ('get', 'VB'), ('voted', 'VBD'), ('off', 'IN'), ('because', 'IN'), (""we're"", 'PRP'), ('old.', 'JJ')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-8.47052503e-03  1.95986852e-02  6.01237686e-03 -2.12214165e-03
  1.61238890e-02 -3.75338309e-02  1.55212888e-02  5.19692488e-02
 -1.74365472e-02 -1.90771688e-02 -9.08248313e-03 -3.49783041e-02
 -7.46951578e-03  1.44715793e-02  1.08242193e-02 -1.28236180e-02
  6.14737906e-03 -1.42610883e-02 -8.73940357e-04 -3.68306078e-02
  1.11552328e-02  1.29259666e-02  1.58202406e-02 -1.32913003e-02
  1.35490519e-03  4.55869501e-03 -1.13792075e-02 -7.52905710e-03
 -3.15223560e-02  5.58122573e-03  3.21224220e-02 -9.67082276e-04
 -1.72900225e-04 -2.15392951e-02 -1.22310994e-02  2.40160767e-02
  1.35238143e-02 -1.11419121e-02 -1.44273937e-02 -2.49099862e-02
  3.78154567e-03 -1.56092132e-02 -1.04654869e-02 -7.29638487e-05
  2.51396615e-02 -2.14073109e-03 -1.52336983e-02 -4.45530284e-03
  1.64551456e-02  1.13084130e-02  9.48934630e-03 -1.54815493e-02
 -5.05825446e-04 -6.07763091e-03 -1.84936691e-02  1.29899280e-02
  3.53371724e-03  4.89310548e-03 -1.65634714e-02  6.36897469e-03
  4.09633992e-03 -7.83755269e-04  7.48065626e-03 -8.81411228e-03
 -2.06419397e-02  1.82086769e-02  1.24981971e-02  1.85515136e-02
 -2.78948452e-02  2.27852557e-02 -1.54841235e-02  1.56944823e-02
  2.06949618e-02  1.24447673e-04  2.77725235e-02  1.31402789e-02
  6.67189248e-04  1.75000168e-03 -1.89019348e-02 -1.19003525e-03
 -1.41250873e-02  3.98466131e-03 -1.62506830e-02  2.85784472e-02
 -8.63027293e-03 -5.90156019e-03  1.29989283e-02  1.49329454e-02
  1.95126254e-02  5.68329869e-03  3.29014547e-02  1.18065393e-02
  6.30143099e-03  3.92493699e-03  3.44832428e-02  1.43850977e-02
  1.86490361e-02 -2.20624078e-02 -3.84462415e-03 -4.91202762e-03]",12
So don't play on that with him.,"[('So', 'RB'), (""don't"", 'VBP'), ('play', 'NN'), ('on', 'IN'), ('that', 'IN'), ('with', 'IN'), ('him.', 'PRP')]",[0. 0. 0. ... 0. 0. 0.],-0.3214,"[-0.00584334  0.02351256  0.00734118 -0.00329337  0.00981627 -0.03680134
  0.0177306   0.04246503 -0.01627222 -0.01731577 -0.0051     -0.03273953
 -0.00366692  0.00954754  0.00658288 -0.0106215   0.00548397 -0.0174587
 -0.00355874 -0.03859952  0.01327097  0.01862216  0.01330547 -0.01596533
 -0.0038661   0.00309747 -0.00931515 -0.01021358 -0.02935311  0.00540311
  0.02779851  0.00166352  0.0019688  -0.02447006 -0.01453685  0.01915905
  0.0092692  -0.01354385 -0.01498792 -0.02721935  0.0072282  -0.01334075
 -0.00675795  0.00504717  0.02822901 -0.00129464 -0.01686147 -0.0090841
  0.01512451  0.01266336  0.00885013 -0.01271523 -0.00189498 -0.00711206
 -0.01731426  0.01239637  0.0039228   0.00673777 -0.01720217  0.00641838
  0.00281937 -0.00018463  0.00692783 -0.00890696 -0.01662527  0.02232707
  0.00789559  0.01841625 -0.02837596  0.02064787 -0.02043267  0.01228347
  0.02440175 -0.00012051  0.02585088  0.01052867  0.0045836  -0.00158411
 -0.01914411  0.0006005  -0.01870788  0.00499107 -0.01917468  0.02606411
 -0.00558143 -0.00900331  0.01515396  0.0192518   0.01965051  0.00554921
  0.02766353  0.01403737  0.00142444  0.00767927  0.03418281  0.01037407
  0.01502006 -0.01676823 -0.00484438 -0.00308623]",7
Yeah.,"[('Yeah.', 'UH')]",[0. 0. 0. ... 0. 0. 0.],0.296,"[-0.00172141  0.00640614 -0.00927654 -0.00914653 -0.00520218  0.00095224
 -0.00717562 -0.00944602 -0.00888567 -0.00046301  0.00741351 -0.00837859
 -0.00533302  0.0015175   0.00331933 -0.00845817  0.00786776 -0.00821638
  0.0047363   0.00941531  0.00566017  0.00617286  0.00823663  0.00345291
 -0.00714446  0.00574707 -0.00831294 -0.00572386  0.00590568 -0.0079294
 -0.00587038 -0.00355836  0.00339306  0.0052197   0.00205528  0.00510855
 -0.00262707  0.00435198 -0.0070484  -0.00166024 -0.0077448   0.00017381
  0.00469816  0.00480003 -0.00465527  0.00175047  0.00781123 -0.00557382
 -0.00378775 -0.00059754 -0.00471976  0.00869686  0.00754213  0.00922141
  0.00936289 -0.00845084 -0.00047974 -0.00760638 -0.00480977 -0.00883971
  0.00341577  0.00010645 -0.00691568  0.00796308  0.00095298  0.00029857
 -0.00356407 -0.00334661 -0.00264244  0.00762218  0.00239459 -0.00517093
  0.00472994  0.0009905  -0.00273315  0.00770945 -0.00394724  0.00743152
 -0.00421543 -0.00735646 -0.00449653 -0.0038985  -0.0007044  -0.00184451
  0.00511122  0.00545057 -0.00173884  0.00373369 -0.00202847  0.00073461
 -0.00136644 -0.00246282 -0.00471682 -0.00426179  0.00012702  0.00164945
 -0.00944871  0.00607636 -0.00168062 -0.00297438]",1
I'm concerned of the stage.,"[(""I'm"", 'PRP'), ('concerned', 'JJ'), ('of', 'IN'), ('the', 'DT'), ('stage.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-1.49739478e-02  2.71619968e-02  5.26232272e-03 -4.59214119e-04
  1.57546345e-02 -4.65579703e-02  1.77241080e-02  5.71834631e-02
 -2.20646858e-02 -2.33384334e-02 -8.39071441e-03 -4.18346636e-02
 -3.90390912e-03  1.36417700e-02  1.19949086e-02 -2.03769505e-02
  8.67610984e-03 -1.67995039e-02 -5.05253673e-03 -5.32431491e-02
  1.22549599e-02  1.72329545e-02  1.48292631e-02 -1.34988278e-02
 -2.34231539e-03  1.98407401e-03 -1.22763691e-02 -9.16517992e-03
 -3.67120877e-02  7.57737365e-03  4.13527563e-02 -7.68734026e-04
 -2.74255988e-03 -2.66324580e-02 -1.96528807e-02  2.97439843e-02
  1.48845334e-02 -1.36418566e-02 -1.46366386e-02 -3.66404280e-02
  1.03207175e-02 -1.94524862e-02 -1.85658149e-02  2.74161506e-03
  3.15971486e-02 -4.19890136e-03 -2.30816714e-02 -4.98190988e-03
  1.69879012e-02  1.53318625e-02  1.32308276e-02 -2.02697143e-02
 -2.19643558e-03 -6.66732143e-04 -2.88182255e-02  1.08234677e-02
  3.38150933e-03  4.10098769e-03 -2.92139612e-02  3.89530882e-03
  7.02080736e-03  7.38685892e-04  1.74619500e-02 -9.60050430e-03
 -2.66061537e-02  2.57966332e-02  1.71444844e-02  2.48496514e-02
 -3.66803110e-02  2.86173820e-02 -2.10664235e-02  2.24287324e-02
  2.91515384e-02  2.91682687e-03  3.79953906e-02  1.88613422e-02
  1.01179967e-03 -2.05903687e-03 -2.08867528e-02 -1.06608169e-03
 -1.59668587e-02  1.93414313e-03 -2.30504721e-02  3.51078287e-02
 -8.82542320e-03 -1.24597233e-02  1.21552255e-02  2.22867094e-02
  2.42098868e-02  8.33433680e-03  3.55131254e-02  2.31968649e-02
  8.38673767e-03  2.41076155e-03  4.95247692e-02  1.70563161e-02
  2.06128825e-02 -2.43634917e-02 -8.06387543e-05 -8.16426612e-03]",5
I'm the old man of the tribe.,"[(""I'm"", 'PRP'), ('the', 'DT'), ('old', 'JJ'), ('man', 'NN'), ('of', 'IN'), ('the', 'DT'), ('tribe.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-0.0153228   0.02888583  0.00389664 -0.00021359  0.01664336 -0.04717144
  0.01737346  0.05946425 -0.02294834 -0.01996499 -0.01241149 -0.0416798
 -0.00467877  0.01071117  0.01082799 -0.01928059  0.00972023 -0.02178936
 -0.00858967 -0.05246634  0.01260299  0.01922727  0.01739836 -0.01875748
  0.00224982  0.00213408 -0.01159737 -0.00776332 -0.04012469  0.00673191
  0.04449903 -0.00319919 -0.00240616 -0.03236984 -0.01963283  0.02737567
  0.01781404 -0.01391737 -0.01429771 -0.03728811  0.00955588 -0.01900331
 -0.01536003  0.00101944  0.03287567 -0.0026875  -0.02053826 -0.00459481
  0.01801903  0.01483295  0.01575061 -0.01716153 -0.00283426 -0.00496003
 -0.02850351  0.01022099  0.00435442  0.00106149 -0.02638424  0.00525718
  0.00863744  0.00354173  0.01894221 -0.0106718  -0.02916083  0.02503428
  0.01215641  0.0272267  -0.03834197  0.03192394 -0.02228931  0.02096782
  0.03252494  0.00199875  0.03809766  0.02053321  0.00177983  0.00151129
 -0.0245814   0.00063833 -0.01675588  0.00418865 -0.02372275  0.03663901
 -0.01069324 -0.01002419  0.01197485  0.02527604  0.02511548  0.00663464
  0.03873059  0.02211414  0.00880163  0.00449282  0.05160457  0.02067313
  0.02462701 -0.03001368 -0.00364975 -0.00916467]",7
"There's Barb, obviously.","[(""There's"", 'EX'), ('Barb,', 'NNP'), ('obviously.', 'RB')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[ 1.5084548e-03  7.4520675e-03  7.5075928e-05 -1.1402182e-03
 -1.6227663e-03 -4.1191066e-03 -4.0516295e-03  4.5829597e-03
 -4.3362011e-03  8.9633913e-04 -6.9118459e-03 -6.0477406e-03
 -2.0724640e-03 -3.9230273e-04  8.6110475e-04 -6.4237178e-03
  2.7877821e-03 -2.5139751e-03 -3.1452188e-03 -4.3540327e-03
  2.2248260e-03  1.5108631e-03 -4.8017490e-04  1.2774399e-03
 -1.8251948e-03 -5.7179779e-03 -2.5831040e-03 -3.1874112e-03
 -3.9548171e-03  6.3044666e-03  6.8359785e-03 -5.9270039e-03
  3.2280749e-03 -3.7753154e-03  4.5119724e-03  3.8580354e-03
  5.4609240e-03 -3.2987148e-03 -4.9968562e-06  4.7856211e-03
  4.7358815e-04 -1.6413964e-03  5.9405837e-04  1.5521189e-03
  9.0541394e-04 -5.0607231e-03 -4.5174207e-03  1.0126494e-03
  1.4335832e-04  1.2811983e-03  1.3212209e-03 -1.0932606e-03
  5.0368714e-03  4.9090316e-03  3.9586099e-03 -1.5548123e-03
 -1.7768865e-03  6.2001888e-03 -1.1003898e-03 -2.1172038e-03
  5.0588074e-04 -3.1868855e-03  4.2666481e-03 -1.0712011e-03
 -2.1057527e-03  2.8529186e-03  1.6757706e-03  2.5507101e-04
  1.7511853e-03  1.4584713e-03 -2.7001668e-03 -3.7536025e-03
 -1.9499419e-03  3.4226615e-03  2.0035661e-03  6.2462111e-04
 -3.4717191e-03  2.0323005e-03  2.6105624e-03 -4.6220500e-04
 -2.7771629e-03  1.1397665e-03 -4.6593496e-03  3.2692759e-03
  4.3140799e-03 -3.5280711e-04 -4.5202393e-04 -5.6006218e-04
 -1.6206077e-04  4.1224658e-03 -1.5987934e-03  2.1939182e-03
  1.8343370e-03  2.3161722e-03  3.2210900e-03 -1.5613014e-03
  4.1825925e-03  3.9360248e-03 -2.1435523e-03  1.0376101e-03]",3
He's on that sort of same 40 to 50 age bracket with myself.,"[(""He's"", 'PRP'), ('on', 'IN'), ('that', 'IN'), ('sort', 'NN'), ('of', 'IN'), ('same', 'JJ'), ('40', 'CD'), ('to', 'TO'), ('50', 'CD'), ('age', 'NN'), ('bracket', 'NN'), ('with', 'IN'), ('myself.', 'PRP')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-0.00709239  0.0177533   0.00490364 -0.00137849  0.00895323 -0.02825818
  0.0125379   0.03912773 -0.01429147 -0.01516668 -0.00557107 -0.02761948
 -0.0063859   0.00739358  0.00616958 -0.01036742  0.00548263 -0.00987872
 -0.00246962 -0.03330211  0.01110014  0.01077214  0.01060175 -0.01115973
 -0.00078272  0.00209367 -0.00728341 -0.00588739 -0.02367123  0.00164366
  0.02665395  0.00151408 -0.00048883 -0.02292049 -0.0100315   0.01793849
  0.01119199 -0.01062841 -0.00943211 -0.01950528  0.00775251 -0.01337204
 -0.01038353  0.00089829  0.02373251 -0.00256395 -0.01131232 -0.00597236
  0.0146879   0.01008603  0.00926764 -0.01078027  0.00272315 -0.00491202
 -0.01678245  0.01252759  0.00444382  0.00281779 -0.01663109  0.00483404
  0.00331051  0.00194449  0.00665479 -0.00676375 -0.01661671  0.01618049
  0.00750829  0.01555966 -0.02434034  0.01646983 -0.01318224  0.01116583
  0.02022263 -0.00047235  0.02449451  0.01356929  0.00292336 -0.00142252
 -0.01425407 -0.00187485 -0.0123529   0.00139771 -0.01548304  0.01992417
 -0.00790729 -0.00723783  0.0116937   0.01387356  0.01767329  0.00542118
  0.02464234  0.01094178  0.00492141  0.00273094  0.02940567  0.01511833
  0.01589371 -0.01689411 -0.00369913 -0.00496046]",13
And we've got.,"[('And', 'CC'), (""we've"", 'PRP'), ('got.', 'NNS')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-5.13670547e-03  7.92946760e-03  7.43562309e-03  4.92129847e-03
  1.46905740e-03 -1.42177464e-02  8.87713488e-03  1.72309279e-02
 -7.18418276e-03 -1.01672653e-02  1.00836914e-03 -1.39275976e-02
 -2.31161807e-03 -2.63694994e-04 -8.28698336e-04 -7.97341485e-03
  3.83218960e-03 -6.86421758e-03 -7.09035574e-03 -1.47048840e-02
  5.84806781e-04 -6.89353503e-04  4.71881730e-03 -2.02282844e-03
  4.46856767e-03  8.80336482e-03 -5.24988351e-03 -3.22352257e-03
 -1.30576855e-02 -3.49292881e-03  7.90422037e-03  4.35203459e-04
 -1.34475238e-03 -4.78668464e-03 -1.85059139e-03  1.08720893e-02
  9.27073788e-03 -8.66347365e-03 -6.09216839e-03 -1.26378508e-02
 -4.64041857e-03 -1.89827324e-03 -3.76013829e-03 -3.04367946e-04
  9.86807421e-03  4.21511941e-05 -6.50177896e-03  1.86838617e-03
  1.21779889e-02  1.01649305e-02  7.55697489e-03 -7.09480187e-03
  8.08923141e-05 -1.93563616e-03 -1.33017702e-02  4.61215572e-03
  6.31166575e-03 -8.37185245e-04 -1.03668673e-02 -2.15540058e-03
  1.51436310e-03  1.23214780e-03  4.12791781e-03 -5.46417339e-03
 -6.83504203e-03  4.23631119e-03  4.41159634e-03  8.83518718e-03
 -8.11299216e-03  7.59430556e-03 -5.98683814e-03  3.08287819e-03
  6.71435148e-03  2.20805220e-03  1.33372592e-02  1.10761831e-02
 -2.23780074e-03 -3.53388861e-03 -3.81905516e-03 -1.21961895e-03
 -8.07476602e-03  2.42296606e-03 -4.23684390e-03  6.00674236e-03
 -2.01126677e-03 -2.95642274e-03  7.70891644e-03  9.00715217e-03
  3.33493506e-03  4.66858922e-03  7.94018526e-03  3.63573735e-03
  6.70325337e-03 -3.50111281e-03  9.69201792e-03  9.45437420e-03
  1.14645073e-02 -6.80413470e-03 -5.19799069e-05  2.45064870e-03]",3
"Now we've got five young ones, as in.","[('Now', 'RB'), (""we've"", 'PRP'), ('got', 'VBD'), ('five', 'CD'), ('young', 'JJ'), ('ones,', 'NNS'), ('as', 'IN'), ('in.', 'IN')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-5.7759397e-03  1.1040586e-02  3.4870300e-03 -1.5051191e-03
  4.6095569e-03 -1.8535892e-02  5.5956598e-03  1.8623011e-02
 -6.8545165e-03 -9.9284695e-03 -2.9442757e-03 -1.6105151e-02
 -1.4867338e-03  8.1410781e-03  2.8031126e-03 -8.8817654e-03
  2.1324933e-03 -9.2678983e-03 -4.5722718e-03 -2.0303294e-02
  5.4053632e-03  2.7015936e-03  5.9742164e-03 -4.0796427e-03
  3.3199866e-03  4.1499822e-03 -3.3108576e-04 -3.5097261e-03
 -1.5262969e-02 -3.6238250e-04  1.1528313e-02  2.4641715e-03
 -2.9114438e-03 -1.1859733e-02 -4.6474040e-03  1.1626605e-02
  8.7663848e-03 -4.2325305e-03 -7.0618941e-03 -1.2284398e-02
  5.0723547e-04 -9.1430163e-03 -3.5692803e-03  2.9874183e-03
  1.4299185e-02  3.8350467e-04 -1.1748727e-02  7.2277768e-04
  9.2956647e-03  6.2080286e-03  5.8474657e-03 -4.9034050e-03
 -2.3724567e-03  4.7414360e-04 -9.2432993e-03  6.5993434e-03
  3.1237642e-03  1.7769192e-03 -1.0932620e-02  1.9790751e-03
  9.2955912e-04 -1.9724297e-03  4.7742231e-03 -4.4422406e-03
 -8.2829138e-03  7.9876930e-03 -1.0965625e-03  1.0290083e-02
 -1.2805389e-02  1.3928547e-02 -7.6319799e-03  7.2557540e-03
  9.1388710e-03 -7.7213335e-05  1.3010316e-02  5.1435954e-03
  3.2702019e-03 -2.4322511e-03 -7.1111005e-03 -2.4232445e-03
 -1.0161873e-02 -8.2356943e-04 -9.7545879e-03  1.1925532e-02
 -3.8379706e-03  3.0683319e-03  5.2792020e-03  8.9417621e-03
  6.5236008e-03  4.1086157e-03  1.2080536e-02  6.9359033e-03
  3.9394465e-03  2.6919211e-03  1.8434541e-02  8.5821878e-03
  7.4603991e-03 -1.1006145e-02 -5.0660069e-03 -1.2532515e-03]",8
In their 20s.,"[('In', 'IN'), ('their', 'PRP$'), ('20s.', 'CD')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-3.2325797e-03  1.8051284e-03 -7.7173151e-03 -4.8280074e-03
  6.6415715e-04 -1.0949127e-02  8.1762448e-03  7.9765571e-03
 -4.5824437e-03 -2.9559683e-03  4.6988469e-04 -9.6635995e-03
  2.3210410e-03 -3.8597092e-03  7.4789440e-04  8.0266484e-04
 -1.2831028e-03 -3.7314214e-05 -2.2162206e-03 -7.4645593e-03
  7.6856962e-03 -4.6079396e-03  1.6102036e-03 -8.1260985e-04
 -1.9583220e-03 -6.7698495e-03 -4.5265886e-03 -1.8256865e-03
 -7.5691598e-03 -1.4852291e-03  6.3965651e-03  2.7526973e-03
  2.2858977e-03 -7.8380993e-03 -3.8028571e-03  5.8173747e-03
 -8.9780550e-04 -4.1727410e-03 -6.2267422e-03 -7.5294562e-03
  1.0273737e-03 -8.4899366e-03 -1.3163561e-03  2.7288601e-03
 -4.7381563e-04 -3.7865937e-03 -2.5664819e-03 -4.3860707e-03
  7.4697257e-04  2.5348025e-03 -5.9550657e-04 -5.5572793e-05
 -1.4305572e-03  7.8437600e-04  1.8332228e-03 -5.4014698e-03
  4.8216996e-03 -2.9800052e-03 -5.1600304e-03  2.3995833e-03
 -4.5111016e-03 -1.2530544e-03  4.7159870e-03 -4.6753231e-03
 -2.2642042e-03  4.7320388e-03  2.7941770e-03  6.5094773e-03
  7.4457115e-04 -1.0913477e-03 -8.0022151e-03  7.4024568e-03
  2.1287948e-03  4.3696165e-04  7.9763187e-03  1.2600231e-03
  2.2050196e-03 -2.3218968e-03 -2.7937486e-03 -1.0959961e-03
 -1.2759984e-03  2.7428784e-03 -2.9749833e-03  2.1882055e-03
  2.1132941e-03 -6.5716789e-03 -3.1217511e-03  3.1568215e-03
  8.3578853e-03 -3.5180443e-03  5.5320896e-03  7.0041674e-03
 -6.2560574e-03  8.3738967e-04  3.5560981e-03  3.9672540e-03
  2.4244655e-04  3.6042456e-03 -1.5573861e-03 -3.3088308e-03]",3
You could totally weave them into a mat.,"[('You', 'PRP'), ('could', 'MD'), ('totally', 'RB'), ('weave', 'NN'), ('them', 'PRP'), ('into', 'IN'), ('a', 'DT'), ('mat.', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-8.10818560e-03  1.47368796e-02  4.30552056e-03 -9.04225744e-05
  6.52335724e-03 -2.73028351e-02  7.43942661e-03  3.09119690e-02
 -1.01657836e-02 -1.09405266e-02  1.80926581e-04 -2.07913853e-02
 -1.96575676e-03  7.43107405e-03  6.61892071e-03 -1.06208669e-02
  2.92113703e-03 -1.25200450e-02 -2.29385099e-03 -2.58019920e-02
  6.96490845e-03  8.67051631e-03  1.00070750e-02 -3.92379286e-03
 -1.59829971e-03  5.85246971e-03 -7.90290907e-03 -4.40988317e-03
 -2.08861828e-02  5.80826774e-03  1.90497171e-02 -2.69524334e-03
 -1.94668886e-03 -2.07307562e-02 -8.25144164e-03  1.49690602e-02
  1.08704036e-02 -9.47369635e-03 -1.00308005e-02 -1.89002156e-02
  3.91212339e-03 -1.47650028e-02 -9.26978327e-03 -4.24038444e-04
  1.97195951e-02 -2.17718165e-03 -8.06187838e-03 -3.25153302e-03
  1.01799900e-02  8.76559969e-03  9.63138882e-03 -9.11676884e-03
 -3.06171295e-03 -3.78793781e-03 -1.21050095e-02  5.68920653e-03
  9.19021317e-04  4.94774338e-03 -1.32878190e-02  7.81411212e-03
 -1.16992509e-04 -9.92245506e-04  8.82723276e-03 -5.01050986e-03
 -1.42225539e-02  1.11830030e-02  8.44244845e-03  1.28718698e-02
 -2.19227113e-02  1.85344573e-02 -1.10398307e-02  1.07289767e-02
  1.58684198e-02 -1.09745353e-03  1.94114540e-02  8.21673591e-03
 -1.53894734e-03  1.99514069e-03 -1.15418658e-02 -3.31851584e-03
 -1.10569578e-02 -8.66991235e-04 -1.27221085e-02  2.25942209e-02
 -1.42240641e-03 -3.55296535e-03  9.06324014e-03  1.30895739e-02
  1.17618358e-02  5.09275077e-03  1.66753419e-02  1.10132694e-02
  7.50340475e-03  3.86898266e-03  2.27495786e-02  1.23455478e-02
  1.36805419e-02 -1.40959136e-02  1.71825313e-03 -2.10282160e-03]",8
Don't you reckon?,"[(""Don't"", 'VBP'), ('you', 'PRP'), ('reckon?', 'NN')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-3.37180682e-03  1.00967167e-02  2.69182585e-03 -3.06020636e-04
  6.58987835e-03 -2.60508340e-02  1.62746664e-02  3.30356024e-02
 -1.62145663e-02 -6.44740462e-03 -4.09038784e-03 -1.86898652e-02
 -3.39637813e-06  1.09309396e-02  4.73554386e-03 -1.63349081e-02
  3.30569199e-03 -1.27886245e-02 -2.74346676e-03 -3.52479294e-02
  9.14650690e-03  1.40219992e-02  1.24817155e-02 -2.35206448e-03
 -2.71429680e-03  5.67375636e-03 -1.16009591e-02 -2.10294733e-03
 -1.92407835e-02 -4.49810090e-04  2.36954708e-02  1.28277577e-04
  4.01586201e-03 -1.73775572e-02 -1.01563726e-02  1.84291881e-02
  6.10944862e-03 -9.87004582e-03 -1.33169927e-02 -2.67899465e-02
  5.57392323e-03 -1.37555897e-02 -9.62192006e-03 -5.48439100e-03
  2.08470281e-02 -6.17845581e-05 -1.15906717e-02 -9.35137365e-03
  6.00922294e-03  9.89540759e-03  8.00728891e-03 -8.33538827e-03
 -3.31068854e-03  1.54460780e-03 -1.47270076e-02  3.41158174e-03
  1.24114286e-03 -3.27629130e-03 -1.16657792e-02  3.49506736e-04
  4.78038751e-03 -2.50636158e-03  5.96022606e-03 -7.99714588e-03
 -1.58887822e-02  1.04514109e-02  4.59393905e-03  1.07451631e-02
 -2.69283801e-02  1.51295559e-02 -9.77384578e-03  1.48696825e-02
  1.99069250e-02 -3.27661633e-03  1.72600746e-02  5.82138216e-03
  5.26485033e-03  1.49261046e-04 -1.64392497e-02  2.29389477e-03
 -1.12815350e-02  4.60424140e-04 -1.52451470e-02  1.83041710e-02
 -6.26647472e-03 -1.06557561e-02  1.11800516e-02  1.62077937e-02
  1.52927181e-02  8.52480438e-03  2.24349052e-02  8.55047535e-03
  6.07872522e-03 -1.19442667e-03  2.56337244e-02  1.06239161e-02
  1.52572365e-02 -1.85745135e-02 -1.69117504e-03 -4.39394265e-04]",3
"We'll need heaps of them, but there's quite a few around.","[(""We'll"", 'PRP'), ('need', 'NN'), ('heaps', 'NNS'), ('of', 'IN'), ('them,', 'PRP'), ('but', 'CC'), (""there's"", 'EX'), ('quite', 'RB'), ('a', 'DT'), ('few', 'JJ'), ('around.', 'RB')]",[0. 0. 0. ... 0. 0. 0.],0.0,"[-0.01230998  0.01724363  0.00393713 -0.00259749  0.00603288 -0.02654542
  0.0133438   0.03029066 -0.01119107 -0.01175533 -0.00293263 -0.020156
 -0.00225659  0.00747444  0.00683461 -0.00983909  0.00395465 -0.01255776
 -0.00543005 -0.02479448  0.00855326  0.01050914  0.00945948 -0.00669297
 -0.0011464   0.00163273 -0.00640405 -0.00883017 -0.01892434  0.00322459
  0.02430899 -0.0021852  -0.00229587 -0.01666921 -0.00995326  0.01698557
  0.00908422 -0.00768235 -0.00708455 -0.01995204  0.00607942 -0.01120407
 -0.00483981 -0.00142462  0.01800117 -0.00376545 -0.00916081 -0.00215242
  0.00933104  0.0078266   0.00777886 -0.00983804 -0.00030959 -0.00373621
 -0.01435279  0.00674493  0.0059556   0.00028407 -0.01309581  0.00096174
  0.00339453  0.00062428  0.00990552 -0.00654012 -0.01382267  0.01215387
  0.00870519  0.01600426 -0.02030718  0.01269135 -0.00925145  0.01113572
  0.01463693  0.00281462  0.0222713   0.00878715 -0.00050122  0.00108799
 -0.01013551  0.00323872 -0.00820698  0.00316407 -0.01149486  0.02203361
 -0.00095174 -0.00814068  0.00797893  0.01408066  0.01190364  0.00102737
  0.01861002  0.01148657  0.00370863  0.0008709   0.02512067  0.01096499
  0.01070979 -0.01554195 -0.00364321 -0.00374739]",11
