original,french,back_to_english
"OK, guys, just a suggestion.","elle , , , ' un , , , ' un de ' un .","but she , a a a a a a ."
"I've got a bit of experience working in bush like this,","j ' ai une une de de , , , , , , , , , , et je .","i have a a , , and , , , , , , and a , and a ."
"how to set up a camp, toilet, and all the rest of it, but we're a team,","que nous ' , , , , , , , , , , , , , , , , , ' , et de ' .","and , , , , , , , , , , , , , , , , , and ."
"and I think if we play together,","et je ' ai , , , ' ai , , , ' ' , , .","and i , i , i i , to say ."
"everybody's got input and a bit of a say on what goes on, eh?","le ' est un , , , , , , , , , , , , , , , et de ' .","it is a a , , , , , , and , , , , , and a a ."
Master Tony?,"mme rosémilly rênal , qui vous ' , ,","madame raquin , who had been , and"
"Yeah, man, he's the man, eh?","un jour , , , , , , , , , , tu es malin… ?","a day , , , , , , , , and laurent , you are ?"
"He's got a lot of experience, man, a lot of knowledge,","il y avait un un , , , , , , , , , , , , , , , , .","a moment , a , , , , , , , , , , , , , and a ."
and he's not shy to share it.,il n ' aurait pas pas de ' à la ' de sa nièce .,it did not prevent the to to the the . of the .
"Just remember, when you're working around in this environment,","quand tu sais , , , , , , , , , , , , , .","when you , , , laurent , , , , , , , , , , ."
"although it may look open, every time you go to touch something,","si elle ' est , , , , , , , , , , ' un , , ' un .","if , , , , , , , , , , a a a . ."
"give it a bit of a kick, or find yourself a stick,","un homme de , et , ' un , , ' un , , , , , , et de ' un .","a man , , and a , and a , and a , and a a a ."
"and give it a bit of a shuffle,","et il y avait une sorte de ' un , de ' un .",and a a a a a a of a .
"because there's always going to be something around,","c ' est parce qu ' elle est ' , et qu ' il y avait des choses .","it is because it was , , and that the the of the ."
and more so when it gets dark.,"et quand il ' ' , , , , , , ' ' , , ' ' .","and when he had , he , he , and ."
I don't mind being a leader at all.,"je ne sais pas ' ai pas , ' un de ' , , ' un de ' ' un .",i don not t a a a a a word .
"I do have a considerable amount of experience,","je ' ai un ' un , ' un , , ' un , ' un de ' un .","a a , , a a , a a a a . ."
They see me as valuable.,je me suis ' ai ' de de ' .,i am a . .
That's part of my plan anyway.,"c ' est ma faute de ' ' , , ' ' , de la ' .","it is s , , , , ."
Make yourself valuable.,"si nous voulons trouvons , ' .",if we were to .
Don't be just an extra body on the ground.,"ne ne pas pas la ' de la ' , de la , , de la .","do not not to the the , the the , the the ."
"If we can all just have a look around the general area,","si nous ' ' , , , , , , , , , , ' un , ' un , ' un .","if , , , , , a a , , a a a a ."
"and we'll just bring it all in here,","et nous avons fait , ' on nous , , , , , , et nous .","and we must have , we , we , we , and we , we , and we ."
"and then we'll see what we've got, and figure out what we're going to build, eh?","et nous nous , , , , , , , , , , , , nous , , , nous , nous , nous .","and we , , , , , , , , we , we , we , we , we , we , we were to ."
"All right, go team!","eh bien , mais , , , , ' ' , , ' ' .","well , but , as if as to ."
The first thing that I noticed about the tribe members,"la vérité , je m ' avait , , ' ' ' ' ' ' , , ' ' .","i was , , , i , to see her ."
"is that a lot of people are standoffish,","c ' est une ' de , , , , , et de ' , et de ' .","it was a , , and , and the , and the ."
and I'm wondering if it's because of Tony being so direct.,"et c ' est que ' ' ' est à moi , ' ' , , ' ' , , ' .","it is s that , i i , ."
"As soon as we walk in, he knew what he thought we needed to do,","nous nous tous ensemble , il ' il nous , , , nous , , , nous , nous .","we we , we , and we , we , we , we , we , to the ."
"who was in charge,",et c ' est qu ' elle ne ' pas pas la moindre de .,but she did not wish to to . .
and so we kind of let it happen.,"et nous avons fait , ' , , , ' il y a des rentes .","and we are , , , , he ."
"Yeah, if you look at some of that stuff, it's a bit rotten.","tu es un , , , , , , , , , , , , , , ' un .","you are a , , , , , , , , , , a a a a ."
"Give it a good kick first, eh?","si tu es ' as , , , , , , , , , , , , , .","if you have , , , , , , , , , , , , , ."
"Tony, were you thinking just to build an actual structure in this little area here?","on ne , que ' un de ' , , , , , , de la , , de la , de la .","one day , , , , , , , , the the , the the of the ."
Yeah.,"mme raquin , ' ' .",madame raquin .
I don't mind Tony taking a leadership role in this tribe.,"je ne sais pas ' ai pas , ' un de ' , , ' un de ' , , ' ' un de ' .","i don not t a a , and a a a a . ."
"It kind of takes the focus off me a little bit, I guess.","je me suis un , , je m ' en ai , , je ' ai ' ai ' un , ' un .","i have a a , , i i a a . ."
"No, no, just try and overlap,","non , mais , , , , , , , , ' ' , , et de ' .","no , no , but , and , , , , and , and ."
and then I can show you how to try a square left.,"et je ' ai ai ' , , ' un , de , , , ' un de ' un de ' un .","and a a , , , , a a a a a . ."
"Yeah, that's too small, eh?","ce sera est , , , , , , , , , , ' ' , ,","it is be , , , , , , , , , , , ,"
"Could you take it, yeah, to that far, onto that one?","pourquoi ne ' pas pas , , , , , , , , , , , , , .","why not , , , , , , , , , , , , , , ."
That's a better idea.,c ' est une ' ' ' un de ' ' un de ' ' un de ' .,a a of a a . .
Yeah.,"mme raquin , ' ' .",madame raquin .
Maybe that one's a bit shorter.,"c ' est une ' ' un de ' , , ' un de ' un de ' un de ' .",a a a a a a a a a . .
"OK, guys, we need to site the toilet away from our camp.","nous , , nous , , , , , de la , , de la .","now , we , , , , , , , the the , and the ."
"But not too far away that, you know, if the girls want to come down here,","mais ne sais pas pas , , , , , , , , , , , , , , , , , et de ' .","but don ' t know , , , she , , and , , , , , , , , , , and , , and ."
they're not going to find it.,"ils ne sont pas , , et ils , ' ' , , .","they did not , and they , and and and ."
They're way off in the bush and they get lost and maybe get bitten by something.,"ils sont ' , et , , , , , , , , , , , , , , , , .","they were , , and , and , and , , and , , , and the , and the ."
"So I think we'll use this initially, we'll dig one here.","je , nous nous , nous , nous , nous , nous , , nous , nous nous , nous .","i , we we , we , we , we , we , we , we , we , we were to ."
"I mean, we'll dig it deep enough for about two or three days,","je ' ' ai , , nous ne nous pas , , nous , , nous , nous , nous .","i have , , we , we , we , we , we , we , we , we , we , we , to the . ."
"so you probably want a hole about, say, two feet deep.","c ' est toi , ' est que , ' un coup… , et , , , , ' un .","it is a , , , , , and , and a a ."
Yeah.,"mme raquin , ' ' .",madame raquin .
"See, I'll go get a machete.","je , je m ' as , , ' un , ' un .",i was a a a a . .
"I mean, Tony's here because he loves it.","je suis bien , , ' il y a , ' il y a , ' il .","i am , , , , he would have to to ."
"I think he's here for the experience, like, so I don't see him as a huge threat.","je ' ai ' ai , , , , je ' ' ai pas , , ' il y a , ' un , ' un , ' un coup… .","i have a , , , i i , a , , and i ."
"Yeah, I want to try and, you know, side with him and still keep him close.","tu es , , , , , , , , , , , , , , , , ' un de ' .","you , , , , , , , , , , , , , , , a a ."
Only I've got stuff to learn off a dude like that.,"je ne ' ai plus , que j ' ai fait un ' un de ' un de ' un de ' un de ' .",i could not a a a a a a a a a . .
He's cool.,il est ' de la .,it is a . .
"How's the loo going, Tom?","que la compagnie est de , , , , , , , , , , , , , , , , , , , , .","the the of of camille , , , , , , , , , , , , , , , , , , , and the , , the the of the ."
Just clearing it out. Have you talked to Lou?,"je ne ' ai pas , , de la , , de la ?","i don ' t know , , the the , , the the of the , , and the the ?"
Not really. I just— I think we've all agreed on Hannah.,"je ne ' ai pas , je , je ' ' ai , , je ' ' ai ' , , ' un , à la ' .","i have no more , i i , i i , i i ."
Yeah.,"mme raquin , ' ' .",madame raquin .
My biggest concern going into tribal would be that I get blindsided.,"mon mari me fait , ' un , , je ' ' ai ' .","my dear , i i , and i ."
"I don't know these people yet, and there's always going to be doubt,","je ne sais pas , , ' est pas ' elle est , , ' ' , , , , , , .","do not know , she said , i don ' t know what to do , and that is not to to ."
"but this first day, there's a lot of doubt.","mais c ' est bien que ' il y a , ' un de ' , , ' un .","but it is a a , , he ."
I want to kill it so we can have it for our dinners.,"je ' aurais mieux aimé que nous ' nous , nous , nous , nous , nous .","i have to to to to , , , , , we , we , we , we , we , we , we , we , we , we , and we ."
I don't want it to claw me.,"je ne m ' ai pas , ' un de de ' , , ' ' .","i don not t a word , and ."
It might just claw onto your stick and then you can carry it.,"il est ' de votre ' , et , , et , , et , , , , et tu es ' as .","it was necessary , and and and and , and and , and you , and you ."
I caught a dinner!,"je suis un , , ' il y a des rentes .","i am a , , i am a . ."
Yeah.,"mme raquin , ' ' .",madame raquin .
"It's more like an entree, eh? Entree.","c ' est une ' un , , , , , , , , , , , , , , , , , , ,","a moment , , , , , , , , , , , , , , , , , , a a ."
"Tom is just, like— I'm really impressed with the way you just, like, were bossing that challenge.","j ' ai , , , , , , , , , , , , , , , , , , , , , .","i have , , , , , , , , , , , , , , , , , , , , ."
like throwing your body on there,"et que tu es ' as , , , et de ' .","and you , you are , and and ."
and you're looking pretty strong.,"et et vous , ' as , , de la ' .","and , , you are ."
"I was like, bro, I told you I was a powerlifter","j ' ai été , , , , , , , je , ' ai , , je te ' .","i have been , , i i , i , i i , i i , you ."
and you just immediately wrote me off,"et , , , , , ' un ton de .","and , , , , ."
"and like, fat girl, you're not gonna be strong,","et , comme vous , , , , , , , , , , , , , , , .","and , , , , , , , , , , , , , , , and the ."
you're gonna be the weakling.,"vous avez ' de , , ' un .",you have a a . .
My immediate reaction with voting would be Tom.,"mon mari est ' pour elle ' elle , ' ' de",my heart is to to me .
"I think he could be quite dangerous,","je sais bien que ' il y avait , , ' ' , , , ' ' .","i know that it was be , , and ."
so I'm a little bit worried what he could do.,"je ' ai un , , ' il , ' ' ' ' , , ' il ' ' ' ' ' un de ' .","i have a a , , and he ."
"He was part of an alliance, like yeah,","il était était un un , , , , , , , , , , , , , , , et de ' un .","it was a a , , and a , , and a , , , and a , , and a ."
one that was naturally created,il était était de ' ' ' de la .,it was the . .
before the tribes were announced.,"avant de la ' , , ' , , ' ' de la .","to the , , the the ."
Yeah.,"mme raquin , ' ' .",madame raquin .
Worst person on my hit list is Tom.,"avant de ' , , , ' ils , ' , , ' un de de .","to , , , , , , ."
because I know he has some strong people,"il faut que que ' il est ' , , ' ' , , ' .",he would have to to to .
that he's quite close with from the other tribes.,"il est ' de ' ' un de de , de la , de la ' , de la .","it is a a of , , the the the the ."
You have to look out for people,"mais , pour la ' de ses enfants .","but , in the of the ."
who might potentially send you home,"il serait bien de ' ' ' , , ' ' , , ' .","it was necessary , to be , ."
and he's one of those people.,et il est ' ' ' ' ' ' ' ' ' ' ' ' .,and he .
"But I just purely think Tom,","mais je ' ' ai ' , , , , , , , , .","but i , , , , , , , i , ."
"just because he's, to me, he seems unpredictable.","il est vrai , il est vrai , il ' est ' ' il , ' ' , , ' ' .","it is true , he he , he he is ."
"Like, you don't know what side he will take.","tu ne sais pas , tu ne ' as pas , , , ' il nous , , .","you don ' t want to , , , , , you , not to to ."
"No, I don't know where his loyalties would lie.","non , je ne ' pas pas , , ' il ne ' pas pas , .","no , i don not , , i i not to . ."
"Like, he's real cool, like, he's a real decent guy,","il , il est ' , , , , , , , , , , , , , , , , .","he , he , , , , , , , , , , , , , , , , and the ."
but in terms of strategy.,"mais , pour qu ' elle ne pouvait se faire .","but , she could not longer see her ."
"Once you stick with someone, like, that's it.","un jour , ' un , , , , , , , , , et , , .","one day , , , and , , and , , and a a ."
I will be voting for Tom tonight,"j ' ai voulu que les meurtriers de ' , .",i have the the of the . .
because I don't find him 100% trustworthy.,"je ne ' pas , , ' ' , , , ' , , ' ' , , ' ' .","i have no longer , , , , i , ."
"Well, are you okay with that?","eh bien , tu , , , , tu as ?","you you , you you are ? ?"
As long as you don't turn around and put it off.,"comme vous , , , , ' est pas , , ' il ne ' pas pas .","you , , , he , , he is not . ."
"No, for sure.","non , mais , ' ' ' ' ' .","no , but no ."
"Okay, I'm good with that.","je , je suis ' ai ' ai ' un , ' un , ' un .","i have a a , and a ."
Tom has to go and Izzy and Hannah agree.,"votre tante est venue , et , et de , et de .","your aunt is the , and and and and and and . ."
"Guys, we have to come back or something.","nous , , , nous , , , nous , , nous .","then , we , we , we , we , we , we , we , we were to ."
"Otherwise, it's just not as dodgy.","il y a , , , , , , , ' ' , , .","it is , , , , , , , ."
"Well, I've got a bro coming through.","j ' ai eu un ' un , ' un , ' un , ' un , ' un .","a a a a , , and a a a a ."
"Oh, there's gonna be a mean fire by the time we're done.","nous avons bien , , ' ' est pas , , nous , , nous , , nous .","we are , , we are not , , we , we , we , we , we , we , we , we , we , to the ."
We're not here.,"nous ne pouvons pas pas nous , .",we don ' t want to to to the . .
"You're insane, eh?","tu as raison , tu as ' as pas , , tu as assassiné… .","you you , you you are , you you are , you you are ."
Woohoo!,"un jour ,",a day night .
"Oh my God, look at this.","oh ! mon dieu , c ' est que ' ' , je me ' ' .","oh ! i have , , , she ."
"Oh yeah, yeah.","et la vieille dame , ' ' .",and the old lady .
Look at you.,"vous avez raison , et ' il y a des rentes .","you are right , he is ."
My babies.,mon mari .,.
My greatest strength to this tribe would be my strength.,"mon mari me fait de ' , , ' ' de la ' , de la ' .","my aunt , to me , and i ."
"So I was picking up boulders and, not boulders,","je ' ' étais , , , , , , , , , , , , , , , et de ' .","i was , , , , , , , , , , , , , , and ."
but really big rocks and bringing them over.,"mais , de se , , , , , , , , , , , , et les .","but , , , , , , , , and , , and the , and the ."
I'd like to say it was a boulder.,"je suis bien , , ' il y a , ' un , ' un .","i am a , , he would have a a ."
"I'm like, this is Hannah's pile.","je suis est , , ' est que tu es ' , , , , , .","i am , , , i , that i have , , ."
"Oh, it actually is.","oh ! c ' est qu ' elle est ' , et il ' ' .","oh ! he is , , and he ."
"I think Hannah is strong as hell,","je ' ai ' , , , , , , , , , , .","i have , , , , , , , , , ."
mentally and physically.,"et son fils ,",and his his .
She's really tough.,"elle est bien , , ' elle est à .","she is true , she said to herself ."
I just know that there's a lot,"je sais bien que ' il y a des rentes ,","i know that the are the to , and the ."
and no team wants to be slowed down at all.,"et , ne ' pas pas ' un de de , , ' ' , , de la .","and don ' t be , , , and ."
"So basically, me, Izzy and Hannah","et , , , , , , , , , .","and , , , , , , , ."
have discussed voting Tom out,"des choses de de l ' autre ,",from the end of the .
just because he's an easy threat.,il ' est un ' ' ' un de ' ' un de ' un de ' ' un .,it is a a a a a . .
"Yeah, I think both Izzy and Tom on the same page.","ils , je ' ai , , , , , , , ' ils , ' ' .","i have , , , and , , and i , to see if the were ."
They're thinking about Hannah as well.,"ils sont ' ont fait de ' , , ' un de de , et de ' .","they are a , , and , and ."
I'll be seeing Hannah because of the challenges.,"je suis ai de de ' ' , , ' un de de , , , ' un de de .","i am a a , , , , , a a . ."
That's a surprise to me,c ' est une ' ' un de ' ' un de ' ' un de ' .,a a of a a . .
because she's part of my original alliance.,"parce qu ' elle est ' , elle me ' ' ' ' ' ' .",to she she would not . .
I'm not very happy with this new development.,"je ne ' ai pas , , ' un de ' , , ' un de ' .","i could not a , , and a a . ."
Tom's just sitting around looking at Isabelle,"le vieux michaud , qui la la , , la la chambre .","the old lady , the the , the the , the the the the the the ."
because he didn't like how she just gave way out.,"il ne ' pas pas , , elle ne ' ' pas pas un de de , , ' elle .","she did not , , she did not even seek to ."
He didn't like how what?,il ne ' pas pas pas ? ?,what do you mean ?
How she gave way out.,"elle se ' , de la , , ' elle , ' ' elle .","she she herself , and she her ."
She didn't say-,elle ne ' pas pas pas la moindre de .,she did not wish to . .
I think Tom's feeling the pressure,je crois que ' il y a des de de la .,i am the to of the . .
and maybe in desperation is trying to point the finger,"et il y a des de de de la , , de la , de la .","and the the of of the , , the the of the ."
at somebody else.,"a cinq heures ,",at five o ' clock in the afternoon .
He's thinking you do.,"il faut que tu as ' as , , ' .",you must go to . .
"She's already thinking past, you know?","elle est ' est pas , , , , , , , , , , , , ,","it is s , , , , , , , , , , , , , and"
I think that we should stick to the plan,"je dois avouer que nous avons ' nous , nous nous .",i must confess that we were to to .
because Tom's an absolute threat.,"parce que ' ' on de la ' , de la , de la ' , de la .","because the water , the the the the ."
But ultimately my most solid alliance would be Osana.,"mais des idées de de ' , , ' ' , , ' ' , , ' ' , , ' ' , , ' ' .","but , , , , , , , , , ."
That's kind of what I'm going with right now.,"c ' est bien que ' ' , je me suis , , je ' ' ai ' , , je suis ' ai , , je te ' .","it is i , i i , i i , i i , i i , i i , i i , to the . ."
"So, Hannah or Izzy?","votre tante , vous , , , , ' , , nous .","you , , you are , , , you are , to you ."
Switch.,un autre côté de la .,a single of of the .
Or Hannah?,"chapitre xxii , ' est-ce que tu as ?",do you think ? you ?
What do you think?,que quoi bon ?,what what is the ?
Let's see.,et je ne ' ai pas .,i don ' t want to .
I'm just waiting for a name,je suis un ' un de ' ' ' ' ' ' ' .,i am a a . .
because I don't know where the numbers are.,"non , je ne ' pas pas , , ' ' , , ' ' , , ' un de ces gens qui les .","no , i i , i , , , , i i , and i ."
I think we should lock one in,"je crois que nous ' ' ' , , nous .",i believe we should have to . .
so we don't keep talking about it,"il n ' est pas pas , , , , , , .","it ' not be , , he , to himself ."
so we can get work done.,"nous sommes bien , nous , , , nous .","we are , , we are , and we ."
I don't know if you guys realise,"je ne sais pas , je ' ' ai , , , ' elle , tu ' ' as pas , .","i don ' t know , , i , i , i , she said to ."
but Hannah's been doing a lot more work than Izzy.,"mais une femme de ' est , , ' elle est à , ' ' , , et ' .","but a thing , she said , , and , , and ."
"Yeah, yeah.","mme raquin , et elle se ' de la ' .",madame raquin and she and the .
"I think she's just properly like proving herself, eh?","je ' ' ai que , , , , , , , , , , , , , , , , .","i have , , , , , , , , , , , , , , , ."
Like that's the point of it.,"et que ce soit , ' , , ' ' , , ' ' .","and that , nothing , it was impossible ."
Yeah.,"mme raquin , ' ' .",madame raquin .
"So Tom, either one's Hannah out or Izzy out","a la , , , , , , , , , , , de la , .","at , , , , , , , , , , , , the the ."
which makes me a horrible person.,"il me semble que ' elle , ' ' un de ' un de ' .",it seemed to me that it was a a . .
I want to be the good person that does the decent thing,"je me suis que ' ' , , , ' ' , , , ' ' , , ' ' .","i am , , , , , i i to the . ."
and then I want to be a survivor.,"et je me suis ' , , ' ' un de ' un de ' un de ' .","and i , a a a a a . ."
So you almost can't play the two at the same time.,"si je ne ' ai pas , , , ' , , ' ' , , ' ' .","if i don ' t want to , , i i ."
"Just let me know, eh?","maintenant , tu as ' as , , , , tu as ' as pas , , tu as assassiné… .","you , you are , , you are , you you are , you you ."
Let me know.,mais je ne ' ai ' ai pas .,but i never saw me .
Yeah.,"mme raquin , ' ' .",madame raquin .
"Hey guys, before we start dragging somewhere","nous , , nous , ' ' , nous nous .","we , we we , we , we , we ."
can we pick the somewhere?,mme de chevreuse ?,madame raquin ?
Yeah.,"mme raquin , ' ' .",madame raquin .
So where's home?,"et , ' ' de la ?",and how ?
Closer to the beach.,"et les de la ' , de la .",and the the of the
Don't want to be too far in here.,"ne ne pas pas pas , , ' un de ' , , ' un de ' .","not not not a word , he , not a word ."
"No, as I say, you've got to pick a site","il , je vous ai , , , , , , , , , ' un ton de .","he , , , , , , , , , , , and i you ."
and then we just pick it.,"et nous avons fait , ' il nous ' ' .",and we must have to to .
"Yeah, good idea.","mon ami , , ' est qu ' elle ne ' .","my dear , she said to herself ."
So we reckon just over here,"nous sommes bien , ' ' nous , , nous .","we are , , we are ."
so it's quite like just behind our flag?,c ' est que ' ' est-ce que tu as ?,what you you doing ?
We go there then.,"nous avons dit , .",we have to to to .
Yep.,"mme raquin , ' ' .",madame raquin .
Okay.,"mme raquin , ' ' .",madame raquin .
"Just where, okay.","a cinq heures , et ils , ' ' , , .","at five o ' clock , and they , and the ."
So there goes that.,"il est vrai , il y a des rentes .","he is true , he is the . ."
Yep.,"mme raquin , ' ' .",madame raquin .
My preparation for Survivor,"mon mari , pour l ' . .","my dear , , she ."
didn't start the day that I found out,"je ne ' ai pas , , ' un jour , ' un , ' ' , , ' ' .","i have not a , , and a a a . ."
I was going to be on Survivor.,"je ne ' avais pas de ' , de la ' .",i could not believe .
It started the day that I found out,"je ' ai ' , , je ' ' ai ' , , je ' ' ' ' un de ' un .","i , a a , and i ."
Survivor was coming to New Zealand.,"mme raquin avait été , de la , de la ' .","madame raquin had the the , and the ."
"So I got to the point where I could run,","je ' ai ' ai , , , , , , , je ' ' avais pas , , je ' ' , je me ' ' .","i have , i i , i i , i , i i , i i , i i to ."
I could swim.,je m ' avait prise d ' une façon .,i had to to to to .
I was juggling.,j ' étais trop d ' un .,i was a . .
I was standing on one foot.,"j ' ai une sorte de ' , , ' un , , ' un .","i have a a , , and a a a . ."
I have held my arm up in the air,"je suis ma maîtresse de la ' , , ' un de ' un de ' un .","i am a , , , a a a a . ."
for as long as I possibly can.,"comme si je ' ai ' ai ' ai , , je ' ' ai ' , , , ' ' .","if i had not , i i ."
And I started meditating,et je ' ai ' de la ' de la .,and i am the the .
and thinking about how I was going to act nice,"et que ' ' , , , ' , , ' ' , , ' ' ' ' .","and , , she was not ."
and how I was going to convince people,et je me ' ' ai ' ' de la ' ' ' ' .,i have to .
that I was a pleasant person.,"j ' ai eu un besoin de ' ' elle , ' ' , , ' ' .",i have a a to .
Have either of you thought at all,"mais , pour vous , , ' un de de .","but , , , , ."
that maybe it wasn't the best idea,"c ' est vrai , il ne ' pas pas de ' ' un de ' ' .","it is true , that is not a . ."
for three of us to go off and leave five behind?,"ou trois cents francs , nous , , ils , ' ils , , .","either we have three thousand francs , they , to the the , and they , to the ."
Risky?,et vous ?,and you ?
"No, I think if we're worried about that,","non , c ' est que nous ' il y a , , nous , nous , , nous .","no , it is not , we are , we are , we are ."
then it's us three and try and get two more in.,"c ' est que nous fussions , et nous , , , et nous ne , pas , nous , .","it was not , , and we we , and , and we , and we , and we ."
"That's going to, oh, I think Barb, Barb","c ' est toi qui m ' ont rendue , , je ' ' ai , , ' un , ' un , ' un .","it was a a , , , i i , and i ."
"surely would want to come with the girls,","je ' ' de ' , , , , , de la , , de la .","i , , , , , , , , the the ."
but who knows?,et qui n ' est pas ?,and why not ?
But do we want a whole girl alive?,"mais comment nous ' un de , , , , , , , , , ' ' , , ' ' .","but , , , , , , , , , , , , ."
"No, because the boys will never flip.","non , non , ' ' , , ' ' , , ' ' , , ' .","no , no , no , no , ."
They'll just try to grab one of us.,"on nous ' a de nous , et de nous , .","they would have the us , and and and ."
So what do you reckon?,quoi faire ? …,what !
I do want to rush into an alliance straight away.,"je me ' de ' ' , , ' un de ' un , de ' un , de ' un .","i , a a a a a a a word ."
"As soon as I got to camp,","je ' ai , , ' , , je m ' en de .","i am , i , i , i ."
"I was looking around at my tribe thinking,","je ' ai ma chambre , je ' ' ai ' , , je me ' , je me ' à la ' .","i have , i i , i i i to ."
"all right, come on, who can I trust?","mon , , , , , , , , , , , , , , , , , ,","look at , , , , , , , , , , , , , , , , , , ,"
"Dee has spoken to Shannon and I,","elle me fait de et je me suis , et je me suis , et je .","i and i and i , and i , and i i , and i i to myself ."
but I'm a little bit wary of her at this point.,"mais je ' ai une vie d ' une façon , , ' un de ' un de ' un de ' un de ' .",but i a a a a a a a a a a a a a a . .
So I'm not sure how I am feeling about Dee.,"je ne sais pas ' ai , , je ' ' ai , , je me ' ' .","i don ' t know , i i , i i ."
"You, the sex appeal, you two need to get in a couple of boys.","tu es , , , , , , , , , , ' ils , ' .","you are , , , , , , , , , , ."
"Well, we can try.","eh bien , nous ne pouvons plus de nous .","well , we we can ' t get a . ."
I don't know how well that's going to work.,"je ne sais pas ' ai pas , , ' ' , , ' ' , , ' ' , , ' .","i don not t , , i , i , i , ."
"For me, I'm just not too sure about Dee.","je ne sais pas , je ne ' ai pas , , ' elle , ' , je me ' .","i don not know , i , i , i i not to . ."
I trust Georgia.,"je suis ' ai , ,","i have been , , i i ."
I'm not sure how much I can trust Dee at this point.,"je ne ' ai pas , ' ' , , , ' , je me ' ' ai , je me ' .","i have no longer , i i , i i ."
We'll talk to you later?,"nous sommes bien , ?","well , we are ? ?"
"Yeah, yeah, we'll find a time.","un jour , nous , ' , , , ' ' , .","one day , , we , to be a ."
"You know, someone like that,","vous savez , que ' est , , ' un coup… de ' , ,","you know , , , , , , a a a man !"
I don't know whether I do want to have them in my alliance,"je ne sais pas , je ' ai , , ' ' , , je ne ' ai pas de de .","i don not know , i , i i not to to . ."
right from the get-go.,"et la ' de la ' , .",and the the .
It's just going to add a whole other level,c ' est une ' ' de la ' un de ' un de ' un de ' un de ' .,a a of a a a a a . .
of paranoia to the game.,"pour la ' , et de la ' .",and in the . .
"We have to get Dee off, obviously, right?","vous avez tort de vous , , ' , , ' on ne ' ' a la ' .","you have to you , you are , , you are ."
"Yeah, well.","mon père , si elle est ' .","you know that , she was a . ."
Is anyone else thinking that?,"mais , est-ce que tu as ' as ?",but how do you say ?
Yeah.,"mme raquin , ' ' .",madame raquin .
Sure.,"et non , ' ' .","no , ."
I'm hoping to get Michael on my side.,"je me suis de de la ' , de la ' , de la ' .",i am the the of the the .
I think he would be an awesome alliance.,"je crois qu ' il y a , il ' ' , , ' ' un de ' .",i know that he would have a a . .
"He looks very fit, and I think he is quite bright as well.","il est bien , , il est ' , et je ' ' ai ' il est ' .","he , he , he , he , he ."
So I think he's quite an all-rounder player.,"je ' ai qu ' il y a , ' un de ' , , ' un de ' un .","then , a a , , , and a a a ."
"We went off, and she was like,","elle était , , , ' elle , ' ' , et , .","she was she , she had she had to her ."
"oh my God, we've left all those guys","oh ! mon dieu , si nous voulons , , , , ' , , , .","oh , i ! if we were , , , , , , , ."
behind us now to get her.,"pour aller faire sa pension ,","to go to her , and her , and"
This is not good.,ce n ' est pas la faute de,it ' s not to to the .
Definitely probably going to keep my eye,"jamais je me ' ' ai , , ' ' de la ' .","i never saw me , i ."
"on Georgia a little bit, I think.","un jour , je ' ai ' ai , , je ' ' ai ' un , ' un .",one day i i a a .
I can definitely see her giving those eyes to Mike.,"je ' aurais voulu ses tendresses , de ses yeux , de la , , de la ' .","i had to her , and , , and her , her , and her ."
"I don't know what's going to happen there,","je ne sais pas , , ' il , ' ' , , , ' ' , ,","i don ' t know , , , , , he would not have a ."
but I definitely just got to be wary of that.,"mais je ' ai ' ai ' , , , ' ' , , ' ' .",but i was to to .
"You've got my back, I've got your back.","mon ami , je te ' ai ' ai , , tu es ' es malin… à moi .","my friend , i i , i i , you ."
Come.,"mais , ' est pas ' un .",but nothing is a . .
Yeah.,"mme raquin , ' ' .",madame raquin .
"Okay, right.","elle est bien , ,","she is true , , and"
Yeah.,"mme raquin , ' ' .",madame raquin .
I don't like villains.,"je ne sais pas , ' ' , , ' ' .","i don not know , , ."
You don't like what?,"mais ne sais pas , , ' est-ce pas ?","but don ' t you , , ?"
Villains.,les yeux .,the eyes .
No.,"non , pour l ' épouser .","no , to be ."
"As soon as she put out her hand for the villain,","quand elle se ' elle , ' elle , ' elle , ' elle , ' ' elle , ' ' , ,",when she saw her she she she she she she
"I was like, all right, you're out.","je suis bien , , , , , , , , , , ' un .","i am a , , , , , , , , , , ."
"Like, I don't want someone around Cammy","je ne sais pas , je ne ' pas pas , , ' ' , , ' .","i don not t , , i , i i not to . ."
"who's going to start, you know what I mean?","qui sait si vous ne ' pas , , , , , , , , , tu es malin… ?","who knows if you don ' t you , you , you , you , you you ?"
"Yep, yep.","mme raquin , et elle se ' de la ' .",madame raquin and she and the .
And I'm a man of my word.,"et je suis ai de de la ' , ' un , ' ' , , ' ' .","i am a a of , , and the ."
Yep.,"mme raquin , ' ' .",madame raquin .
You're a man of your word.,"tu es un de de , , de votre fils ,","you are a a of your , , and , , and you , you are a ."
Yep.,"mme raquin , ' ' .",madame raquin .
"So I was thinking, if me, you, Shannon and Georgia","je me suis , , , , , , , , , , , , , je te ' ai ' .","i am , , , therese , i i , i , i , i i ."
"teamed up, because you seem like a very honest person,","si tu es ' as , , , , , , , , , , , .","if you have , , , , , , , , , , , ."
and I am as well.,et c ' est qu ' elle ne ' pas .,she would not have to . .
"If us four teamed up, and yeah, ideally final four.","et , pour se rendre à , et ils , ' ils , ' ils , , et ils se roidissaient .","and , they they they they they , and they , and they and they ."
