Start Time,End Time,Sentence,Corrected Sentence,Translation,Student_Emotion,Pipeline_Emotion,Core_Pipeline_Emotion,Corrected_Emotion
"00:55:20,000","00:55:23,000",Want je bent dus de laatste. Dus ik heb iedereen gezien?,Want je bent dus de laatste. Dus ik heb iedereen gezien?,Because you are the last. So I've seen everyone?,neutral,realization,surprise,neutral
"00:55:23,000","00:55:26,000",Je gaat straks iedereen zien. Dus wij zijn nu een team.,Je gaat straks iedereen zien. Dus wij zijn nu een team.,You're going to see everyone soon. So we are a team now.,neutral,excitement,happiness,happiness
"00:55:26,000","00:55:28,000","Echt? Ja, ik zweer het.","Echt? Ja, ik zweer het.","Real? Yes, I swear.",surprise,approval,happiness,surprise
"00:55:28,000","00:55:31,000",Maar ik ben echt blij dat ik jou heb.,Maar ik ben echt blij dat ik jou heb.,But I'm really glad I have you.,happiness,joy,happiness,happiness
"00:55:31,000","00:55:33,000",Ik ben echt blij dat ik jou heb.,Ik ben echt blij dat ik jou heb.,I'm really glad I have you.,happiness,joy,happiness,happiness
"00:55:33,000","00:55:36,000",Dat is echt superleuk. Het komt helemaal goed.,Dat is echt superleuk. Het komt helemaal goed.,That's really great. It's going to be just fine.,happiness,optimism,happiness,happiness
"00:55:36,000","00:55:37,000",Alice.,Alice.,Alice.,neutral,neutral,neutral,neutral
"00:55:37,000","00:55:38,000",Wat doe je van beroep?,Wat doe je van beroep?,What is your profession?,neutral,curiosity,neutral,neutral
"00:55:38,000","00:55:41,000",Ik werk bij een staalbedrijf. In Amuiden is dat.,Ik werk bij een staalbedrijf. In Amuiden is dat.,I work at a steel company. That is in Amuiden.,neutral,neutral,neutral,neutral
"00:55:41,000","00:55:43,000",Daarnaast doe ik modellenwerk.,Daarnaast doe ik modellenwerk.,I also do modeling.,neutral,pride,happiness,neutral
"00:41:33,000","00:41:35,000","Zet hem op, hè.","Zet hem op, hè.","Go for it, eh.",Happiness ,encouragement,happiness,happiness
"00:41:45,000","00:41:47,000",Christel.,Christel.,Christel.,Neutral ,neutral,neutral,happiness
"00:41:48,000","00:41:50,000",Ja.,Ja.,And.,Neutral ,neutral,neutral,neutral
"00:41:51,000","00:41:53,000",Wat doet dat met je?,Wat doet dat met je?,What does that do to you?,Anger ,curiosity,neutral,neutral
"00:41:54,000","00:41:56,000","Ja, het is gewoon kloten. Het is natuurlijk gewoon niet leuk.","Ja, het is gewoon kloten. Het is natuurlijk gewoon niet leuk.","Yeah, it just sucks. It's just not fun, of course.",Anger ,disappointment,sadness,anger
"00:41:57,000","00:42:00,000",De vorige expeditie is mijn naam nooit op een briefje gekomen.,De vorige expeditie is mijn naam nooit op een briefje gekomen.,My name never appeared on a piece of paper on the previous expedition.,Neutral ,disappointment,sadness,neutral
"00:42:01,000","00:42:03,000","Ja, het is misschien ook het idee dat mensen van...","Ja, het is misschien ook het idee dat mensen van...","Yes, it might also be the idea that people of...",Neutral ,confusion,sadness,neutral
"00:42:04,000","00:42:06,000",klein en is misschien niet zo sterk. I don't know.,klein en is misschien niet zo sterk. I don't know.,small and maybe not so strong. I don't know.,Neutral ,confusion,sadness,neutral
"00:42:07,000","00:42:09,000","Christel, het was heel fijn dat je erbij was.","Christel, het was heel fijn dat je erbij was.","Christel, it was great having you there.",Happiness ,admiration,happiness,happiness
"00:42:10,000","00:42:12,000","Maar het is echt voorbij. I know, ja.","Maar het is echt voorbij. I know, ja.","But it's really over. I know, yeah.",Sadness,sadness,sadness,sadness
"00:42:13,000","00:42:15,000","Je mag gaan. Ja, dank je wel.","Je mag gaan. Ja, dank je wel.",You can go. Yes thank you.,Neutral ,neutral,neutral,neutral
"00:42:15,000","00:42:17,000",Volgende keer.,Volgende keer.,Next time.,Neutral ,optimism,happiness,neutral
"00:42:18,000","00:42:20,000",Ik zie het al. Jij kloopt hier achteraf.,Ik zie het al. Jij kloopt hier achteraf.,I can already see it. You're knocking here afterwards.,Surprise,amusement,happiness,surprise
"00:42:21,000","00:42:23,000",We gaan zo'n beetje komendare komen.,We gaan zo'n beetje commanderen komen.,"We're going to come and give orders, sort of.",Anger ,amusement,happiness,happiness
"00:42:24,000","00:42:26,000",Waarom doe ik mezelf dit aan? Het is een soort tropische gevangenis.,Waarom doe ik mezelf dit aan? Het is een soort tropische gevangenis.,Why am I doing this to myself? It's a kind of tropical prison.,Disgust,confusion,sadness,sadness
"00:42:27,000","00:42:29,000",We komen aanlopen en het is gewoon gigagroot.,We komen aanlopen en het is gewoon gigagroot.,We walk up and it's just huge.,Surprise,surprise,surprise,surprise
"00:42:30,000","00:42:32,000",Ook wel all-star-waardig.,Ook wel all-star-waardig.,Also all-star worthy.,Happyness,approval,happiness,happiness
"00:42:33,000","00:42:35,000",Je beneert nog eentje. Je beneert nog eentje.,Je beneert nog eentje. Je beneert nog eentje.,You're gonna hurt another one. You're gonna hurt another one.,Fear,fear,fear,fear
"00:42:36,000","00:42:38,000",Dat duurt nog lang. Blaas op dat touw. Blaas op dat touw.,Dat duurt nog lang. Blaas op dat touw. Blaas op dat touw.,That's going to take a long time. Blow on that rope. Blow on that rope.,Fear,annoyance,anger,anger
"00:42:39,000","00:42:41,000","Ah, fuck, fuck, fuck, fuck.","Ah, fuck, fuck, fuck, fuck.","Ah, fuck, fuck, fuck, fuck.",Anger ,anger,anger,anger
"00:42:42,000","00:42:44,000",Hoe kan dit zoveel pijn doen?,Hoe kan dit zoveel pijn doen?,How can this hurt so much?,Surprise,sadness,sadness,sadness
"00:42:45,000","00:42:47,000","Ah, ah, ah.","Ah, ah, ah.","Ah, ah, ah.",Happiness ,pain,sadness,sadness
"00:42:52,000","00:42:57,000",Omdat haar vader prominent deel uitmaakt van een appgroep waarin de vlucht besproken wordt...,Omdat haar vader prominent deel uitmaakt van een appgroep waarin de vlucht besproken wordt...,Because her father is a prominent member of an app group where the flight is discussed...,Neutral ,neutral,neutral,neutral
"00:42:57,000","00:43:00,000",bestaat het vermoeden dat hij haar in de toekomst gaat helpen.,bestaat het vermoeden dat hij haar in de toekomst gaat helpen.,there is a suspicion that he will help her in the future.,Surprise,curiosity,neutral,neutral
"00:43:00,000","00:43:04,000",Daarom willen de hunters een baken plaatsen onder de auto van de familie...,Daarom willen de hunters een baken plaatsen onder de auto van de familie...,That's why the hunters want to place a beacon under the family's car...,Neutral ,neutral,neutral,neutral
"00:43:04,000","00:43:07,000",zodat elke verdachte beweging kan worden gemonitord.,zodat elke verdachte beweging kan worden gemonitord.,so that any suspicious movement can be monitored.,Neutral ,neutral,neutral,neutral
"00:43:07,000","00:43:09,000","Hoi, mag ik u wat vragen?","Hoi, mag ik u wat vragen?","Hi, can I ask you something?",Neutral ,curiosity,neutral,neutral
"00:43:09,000","00:43:13,000","Hoi, wij zijn Romy en Kelly en wij staan bij jouw vriendinnetje voor de deur.","Hoi, wij zijn Romy en Kelly en wij staan bij jouw vriendinnetje voor de deur.","Hi, we are Romy and Kelly and we are at your girlfriend's door.",Neutral ,neutral,neutral,neutral
"00:43:13,000","00:43:15,000",En wij zijn eigenlijk op de vlucht voor hunters.,En wij zijn eigenlijk op de vlucht voor hunters.,And we are actually running from hunters.,Fear ,fear,fear,fear
"00:43:15,000","00:43:18,000",En wij hoorden dat jullie hier in de buurt wonen.,En wij hoorden dat jullie hier in de buurt wonen.,And we heard that you live around here.,Neutral ,curiosity,neutral,neutral
"00:43:18,000","00:43:21,000",Zouden wij misschien bij jullie ouders kunnen slapen?,Zouden wij misschien bij jullie ouders kunnen slapen?,Could we perhaps sleep at your parents' house?,Neutral ,desire,happiness,neutral
"00:43:21,000","00:43:24,000",Of ergens bij jullie in de buurt in de tuin?,Of ergens bij jullie in de buurt in de tuin?,Or somewhere near you in the garden?,Neutral ,desire,happiness,neutral
"00:43:24,000","00:43:25,000",Ja?,Ja?,And?,Fear ,curiosity,neutral,neutral
"00:43:25,000","00:43:26,000",Maar...,Maar...,But...,Neutral ,confusion,sadness,neutral
"00:43:26,000","00:43:28,000","Lily, Lily. Wel mijn vader.","Lily, Lily. Wel mijn vader.","Lily, Lily. Well, my father.",Neutral ,neutral,neutral,neutral
"00:43:28,000","00:43:30,000",Wel mijn vader. Die doet het 100 procent.,Wel mijn vader. Die doet het 100 procent.,"Well, my father. He does it 100 percent.",Neutral ,approval,happiness,neutral
"00:43:30,000","00:43:32,000",Dank je wel. Dank je wel.,Dank je wel. Dank je wel.,Thank you. Thank you.,Happiness ,gratitude,happiness,happiness
"00:43:32,000","00:43:35,000","Wel mijn vader. Ja, ga doen. Doei.","Wel mijn vader. Ja, ga doen. Doei.","Well my father. Yes, go do it. Bye.",Neutral ,approval,happiness,neutral
"00:43:35,000","00:43:37,000","Nou, jullie hebben hulp?","Nou, jullie hebben hulp?","Well, you have help?",Surprise,curiosity,neutral,neutral
"00:43:37,000","00:43:40,000",Er is alleen huntersgezegd in het gesprek.,Er is alleen huntersgezegd in het gesprek.,Only hunters were mentioned in the conversation.,Neutral ,neutral,neutral,neutral
"00:43:40,000","00:43:42,000",Wat...,Wat...,What...,Surprise,confusion,sadness,surprise
"00:43:42,000","00:43:44,000",Wat dan?,Wat dan?,What then?,Fear ,confusion,sadness,fear
"00:43:49,000","00:43:51,000",Mijn papa vindt het goed.,Mijn papa vindt het goed.,My daddy approves.,Happiness ,joy,happiness,happiness
"00:43:51,000","00:43:53,000",Ja? Ja.,Ja? Ja.,And? And.,Neutral ,curiosity,neutral,neutral
"00:07:35,000","00:07:38,000",Dat kun je via de QR-code die nu in beeld verschijnt.,Dat kun je via de QR-code die nu in beeld verschijnt.,You can do this via the QR code that now appears on the screen.,neutral,neutral,neutral,neutral
"00:07:38,000","00:07:42,000","Links is voor een Nederlands account, rechts is als je in Vlaanderen woont.","Links is voor een Nederlands account, rechts is als je in Vlaanderen woont.","Left is for a Dutch account, right is if you live in Flanders.",neutral,neutral,neutral,neutral
"00:07:42,000","00:07:46,000",Het is tijd om de allereerste bewoner in de studio uit te nodigen.,Het is tijd om de allereerste bewoner in de studio uit te nodigen.,It's time to invite the very first resident to the studio.,neutral,excitement,happiness,happiness
"00:07:46,000","00:07:49,000","Ze is 33 jaar, komt uit Schagen, Nederland...","Ze is 33 jaar, komt uit Schagen, Nederland...","She is 33 years old, comes from Schagen, the Netherlands...",neutral,neutral,neutral,neutral
"00:07:49,000","00:07:52,000","is moeder van twee kinderen, Jack en James...","is moeder van twee kinderen, Jack en James...","is mother of two children, Jack and James...",neutral,neutral,neutral,neutral
"00:07:52,000","00:07:56,000","en heeft een heel duidelijk doel voor ogen, en dat is de winst.","en heeft een heel duidelijk doel voor ogen, en dat is de winst.","and has a very clear goal in mind, and that is profit.",neutral,determination,neutral,neutral
"00:07:56,000","00:07:59,000",Een groot applaus voor Ashley.,Een groot applaus voor Ashley.,A big round of applause for Ashley.,happiness,joy,happiness,happiness
"00:08:01,000","00:08:03,000",Hallo.,Hallo.,Hallo.,neutral,neutral,neutral,neutral
"00:08:03,000","00:08:06,000","Ashley, welkom. Ja, dank je wel.","Ashley, welkom. Ja, dank je wel.","Ashley, welcome. Yes thank you.",neutral,gratitude,happiness,happiness
"00:08:06,000","00:08:10,000","Hoe gaat het? Ja, ik ben wel een beetje gespannen, moet ik zeggen.","Hoe gaat het? Ja, ik ben wel een beetje gespannen, moet ik zeggen.","How are you? Yes, I am a bit tense, I must say.",fear,nervousness,fear,fear
"00:08:10,000","00:08:13,000",Je bent ook mama? Ja. Jack en James. Hoe oud zijn de kindjes?,Je bent ook mama? Ja. Jack en James. Hoe oud zijn de kindjes?,You're a mom too? Yes. Jack and James. How old are the children?,neutral,curiosity,neutral,neutral
"00:08:13,000","00:08:16,000","Die zijn 14 en 7. Oké, die laat je achter.","Die zijn 14 en 7. Oké, die laat je achter.","Those are 14 and 7. Okay, leave that one behind.",neutral,neutral,neutral,neutral
"00:08:16,000","00:08:19,000","Ja, die laat ik achter, maar goed achter natuurlijk.","Ja, die laat ik achter, maar goed achter natuurlijk.","Yes, I'll leave that behind, but leave it behind well of course.",neutral,sadness,sadness,neutral
"00:08:19,000","00:08:21,000",Anders had ik het natuurlijk nooit gedaan.,Anders had ik het natuurlijk nooit gedaan.,Of course I would never have done it otherwise.,neutral,determination,neutral,neutral
"00:08:21,000","00:08:23,000","Je gaat het huis in, misschien voor heel lange tijd.","Je gaat het huis in, misschien voor heel lange tijd.","You go into the house, maybe for a very long time.",neutral,nervousness,fear,neutral
"00:08:23,000","00:08:25,000","Je hebt ook een relatie met Bart. Ja, klopt.","Je hebt ook een relatie met Bart. Ja, klopt.",You also have a relationship with Bart. That's right.,neutral,neutral,neutral,neutral
"00:08:25,000","00:08:27,000",Hebben jullie bepaalde afspraken gemaakt?,Hebben jullie bepaalde afspraken gemaakt?,Have you made any specific agreements?,neutral,curiosity,neutral,neutral
"00:08:27,000","00:08:29,000","Wat mag er wel, wat mag er niet?","Wat mag er wel, wat mag er niet?","What is allowed, what is not allowed?",neutral,curiosity,neutral,neutral
"00:08:29,000","00:08:31,000","Ja, ik ben hartstikke trouw aan hem.","Ja, ik ben hartstikke trouw aan hem.","Yes, I am very loyal to him.",neutral,love,happiness,happiness
"00:08:31,000","00:08:33,000","Er is één afspraak, en dat is winnen.","Er is één afspraak, en dat is winnen.","There is one agreement, and that is winning.",neutral,determination,neutral,neutral
"00:08:33,000","00:08:35,000",Dat is winnen? Jij wilt absoluut winnen?,Dat is winnen? Jij wilt absoluut winnen?,That's winning? You absolutely want to win?,surprise,curiosity,neutral,surprise
"00:08:35,000","00:08:37,000","Ja, en dat wil hij ook, dat ik win.","Ja, en dat wil hij ook, dat ik win.","Yes, and that's what he wants me to win.",neutral,approval,happiness,neutral
"00:08:37,000","00:08:39,000",Klinkt goed.,Klinkt goed.,Sounds good.,neutral,approval,happiness,neutral
"00:08:39,000","00:08:42,000",De plannen zijn al gemaakt. Ik sta bij vrienden en familie.,De plannen zijn al gemaakt. Ik sta bij vrienden en familie.,The plans are already made. I am with friends and family.,neutral,joy,happiness,neutral
"00:08:42,000","00:08:45,000",Even voor de ouders. Jullie hebben natuurlijk lang met Esly in huis gewoond.,Even voor de ouders. Jullie hebben natuurlijk lang met Esly in huis gewoond.,Just for the parents. You have of course lived with Esly in the house for a long time.,neutral,neutral,neutral,neutral
"00:08:45,000","00:08:48,000","De positieve dingen van Esly in een huis, om daarmee samen te wonen.","De positieve dingen van Esly in een huis, om daarmee samen te wonen.","The positive things of Esly in a house, to live with it.",neutral,admiration,happiness,neutral
"00:08:48,000","00:08:50,000",Noem ze even op.,Noem ze even op.,Just name them.,neutral,curiosity,neutral,neutral
"00:08:50,000","00:08:52,000","Dat je niet één, maar twee dochters tegelijk hebt.","Dat je niet één, maar twee dochters tegelijk hebt.","That you have not one, but two daughters at the same time.",neutral,surprise,surprise,surprise
"00:08:52,000","00:08:54,000","Oh ja, zo druk ben je.","Oh ja, zo druk ben je.","Oh yes, you are that busy.",neutral,realization,surprise,surprise
"00:08:54,000","00:08:56,000",Ze telt voor twee.,Ze telt voor twee.,She counts for two.,neutral,amusement,happiness,neutral
"00:08:56,000","00:08:58,000","Ja, die is ruim aanwezig.","Ja, die is ruim aanwezig.","Yes, it is widely available.",neutral,neutral,neutral,neutral
"00:08:58,000","00:09:00,000","Nee, maar ze is meestal vrolijk.","Nee, maar ze is meestal vrolijk.","No, but she is usually cheerful.",happiness,joy,happiness,happiness
"00:09:00,000","00:09:04,000",En ze ziet toch wel heel veel positieve dingen in het leven.,En ze ziet toch wel heel veel positieve dingen in het leven.,And she sees a lot of positive things in life.,happiness,admiration,happiness,happiness
"00:09:04,000","00:09:06,000","Dus, dank jullie wel.","Dus, dank jullie wel.","So, thank you.",neutral,gratitude,happiness,happiness
"00:09:06,000","00:09:08,000",Oké.,Oké.,Okay.,neutral,neutral,neutral,neutral
"00:09:08,000","00:09:11,000",Wij hebben een aantal belangrijke puntjes die we moeten bespreken.,Wij hebben een aantal belangrijke puntjes die we moeten bespreken.,We have some important points to discuss.,neutral,curiosity,neutral,neutral
"00:09:11,000","00:09:13,000",Je hebt hier een enorme koffer bij.,Je hebt hier een enorme koffer bij.,You have a huge suitcase with this.,neutral,surprise,surprise,neutral
"00:09:13,000","00:09:14,000",Ja? Zeg dat.,Ja? Zeg dat.,Yes? Say that.,neutral,curiosity,neutral,neutral
"00:09:14,000","00:09:15,000",Alles zit daarin.,Alles zit daarin.,Everything is in there.,neutral,neutral,neutral,neutral
"00:09:15,000","00:09:16,000",Alles.,Alles.,Everything.,neutral,neutral,neutral,neutral
"00:09:16,000","00:09:17,000",Jouw leven.,Jouw leven.,Your life.,neutral,neutral,neutral,neutral
"00:09:17,000","00:09:18,000",Mijn leven.,Mijn leven.,My life.,neutral,neutral,neutral,neutral
"00:09:18,000","00:09:19,000",Jammer genoeg blijft je koffer hier.,Jammer genoeg blijft je koffer hier.,"Unfortunately, your suitcase remains here.",sadness,disappointment,sadness,sadness
"00:09:19,000","00:09:20,000",Dat is helemaal oké.,Dat is helemaal oké.,That's totally okay.,neutral,acceptance,neutral,neutral
"00:35:46,000","00:35:47,000",Er staan nog best wel wat huiskamera's.,Er staan nog best wel wat huiskamera's.,There are still quite a few living room cameras.,neutral,nervousness,fear,fear
"00:35:48,000","00:35:52,000","Dus als je via die kant daaruit gaat, dan kom je een beetje naar achterafstraat.","Dus als je via die kant daaruit gaat, dan kom je een beetje naar achterafstraat.","So if you go out that way, you'll end up in a bit of a back street.",neutral,neutral,neutral,neutral
"00:35:52,000","00:35:55,000","En dan loop je via de achterkant van het station, dan kan je naar binnen.","En dan loop je via de achterkant van het station, dan kan je naar binnen.","And then you walk through the back of the station, then you can enter.",neutral,neutral,neutral,neutral
"00:35:56,000","00:35:58,000",En dan moet je volgens mij naar spoor vier of vijf.,En dan moet je volgens mij naar spoor vier of vijf.,And then I think you should go to track four or five.,neutral,neutral,neutral,neutral
"00:35:59,000","00:36:00,000","Oké. Ah, top. Perfect. Top.","Oké. Ah, top. Perfect. Top.","Okay. Oh, great. Perfect. Top.",happiness,joy,happiness,happiness
"00:36:02,000","00:36:05,000",Op het hoofdkwartier zijn de pinbeelden van het duo binnen.,Op het hoofdkwartier zijn de pinbeelden van het duo binnen.,The PIN images of the duo have been received at headquarters.,neutral,realization,surprise,neutral
"00:36:05,000","00:36:08,000",Omdat de Hunters ervan uitgaan dat ze al lang zijn vertrokken...,Omdat de Hunters ervan uitgaan dat ze al lang zijn vertrokken...,Because the Hunters assume they've long since left...,neutral,realization,surprise,neutral
"00:36:08,000","00:36:11,000",zijn ze vooral geïnteresseerd in hun signalement...,zijn ze vooral geïnteresseerd in hun signalement...,they are mainly interested in their description...,neutral,curiosity,neutral,neutral
"00:36:11,000","00:36:13,000",en de mogelijke looproute na het pinnen.,en de mogelijke looproute na het pinnen.,and the possible walking route after debit card payment.,neutral,curiosity,neutral,neutral
"00:36:13,000","00:36:17,000","Heel moeilijk te herinneren. Mondkapje, petje, zonder bril.","Niet moeilijk te herkennen. Mondkapje, petje, zonder bril.","Not difficult to recognize. Face mask, cap, without glasses.",neutral,realization,surprise,neutral
"00:36:17,000","00:36:19,000",Ik denk dat dit Siva is.,Ik denk dat dit Siva is.,I think this is Siva.,neutral,realization,surprise,surprise
"00:36:19,000","00:36:20,000",Wat is hij al aan het doen dan?,Wat is hij al aan het doen dan?,What is he already doing then?,surprise,curiosity,neutral,surprise
"00:36:21,000","00:36:24,000",Weten wij wat hij net aan had? Wel donkere kleding.,Weten wij wat hij net aan had? Wel donkere kleding.,Do we know what he was just wearing? Dark clothing.,neutral,curiosity,neutral,neutral
"00:36:24,000","00:36:26,000","Ja, hij had geen zwart shirt aan.","Ja, hij had geen zwart shirt aan.","Yes, he wasn't wearing a black shirt.",neutral,realization,surprise,neutral
"00:36:26,000","00:36:28,000","Ik denk het wel. Dit is bij het station, toch?","Ik denk het wel. Dit is bij het station, toch?","I think so. This is near the station, right?",neutral,curiosity,neutral,neutral
"00:36:28,000","00:36:31,000","Ja, het is bij het station. Ja, daar heb je de trams.","Ja, het is bij het station. Ja, daar heb je de trams.","Yes, it's at the station. Yes, there you have the trams.",neutral,confirmation,neutral,neutral
"00:36:32,000","00:36:35,000","Van alle plekken dat je kan pinnen, dan kies je het centraal station.","Van alle plekken dat je kan pinnen, dan kies je het centraal station.","Of all the places where you can pay by card, choose the central station.",neutral,disapproval,disgust,disgust
"00:36:36,000","00:36:38,000","Dat snap ik dan echt niet. O, ja.","Dat snap ik dan echt niet. O, ja.",I really don't understand that. Oh yeah.,neutral,confusion,sadness,sadness
"00:36:39,000","00:36:43,000","We moeten hier, over het hek, want dan kunnen ze als het goed is ons niet zien.","We moeten hier, over het hek, want dan kunnen ze als het goed is ons niet zien.","We have to go over the fence here, because then they shouldn't be able to see us.",fear,nervousness,fear,fear
"00:36:44,000","00:36:47,000","Je hebt kans dat ze meteen doorgaan nu, toch?","Je hebt kans dat ze meteen doorgaan nu, toch?","There's a chance they'll move on right now, right?",fear,curiosity,neutral,fear
"00:36:47,000","00:36:49,000",Ze blijven niet zitten bij die pinautomaat.,Ze blijven niet zitten bij die pinautomaat.,They don't stay at that ATM.,neutral,realization,surprise,neutral
"00:36:49,000","00:36:51,000","Kijk, wat Jeroen zegt, ze gaan niet naast het pinapparaat zitten...","Kijk, wat Jeroen zegt, ze gaan niet naast het pinapparaat zitten...","Look, what Jeroen says, they don't sit next to the PIN machine...",neutral,realization,surprise,neutral
"00:36:52,000","00:36:54,000",en wachten op hun stoel tot wij aankomen rijden. Dus ze gaan door.,en wachten op hun stoel tot wij aankomen rijden. Dus ze gaan door.,and wait in their seats until we arrive driving. So they continue.,neutral,realization,surprise,neutral
"00:36:54,000","00:36:55,000","Ja, dat denk ik ook.","Ja, dat denk ik ook.","Yes, I think so too.",neutral,agreement,neutral,neutral
"00:36:55,000","00:36:58,000",Zo snel mogelijk in die omgeving al die beelden opvragen.,Zo snel mogelijk in die omgeving al die beelden opvragen.,Request all those images in that environment as quickly as possible.,neutral,desire,happiness,neutral
"00:36:58,000","00:37:00,000","Zodra je camerabeelden binnen hebt, dan hoor ik het, hè?","Zodra je camerabeelden binnen hebt, dan hoor ik het, hè?","I'll let you know as soon as you get camera footage, right?",neutral,promise,neutral,neutral
"00:37:00,000","00:37:01,000",Ja.,Ja.,And.,neutral,neutral,neutral,neutral
"00:37:01,000","00:37:04,000","Weet je wat ik doe? Tas nu maar om, vastpakken.","Weet je wat ik doe? Tas nu maar om, vastpakken.","Do you know what I do? Now put your bag on, grab it.",neutral,instruction,neutral,neutral
"00:37:04,000","00:37:06,000",Zo lopen met de tas. Trek je trui eroverheen.,Zo lopen met de tas. Trek je trui eroverheen.,This is how you walk with the bag. Pull your sweater over it.,neutral,instruction,neutral,neutral
"00:37:07,000","00:37:09,000",Kijk. Kijk.,Kijk. Kijk.,Look. Look.,neutral,instruction,neutral,neutral
"00:37:09,000","00:37:11,000",Binnenlangs. Binnenlangs.,Binnenlangs. Binnenlangs.,Inside. Inside.,neutral,instruction,neutral,neutral
"00:37:11,000","00:37:13,000",Hierlangs? Langs die camera af? Ga langs die camera af.,Hierlangs? Langs die camera af? Ga langs die camera af.,Along here? Next to the camera? Go down next to the camera.,neutral,nervousness,fear,fear
"00:37:14,000","00:37:17,000","Kijk of we dat misschien... Hij heeft ons sowieso gezien, die camera.","Kijk of we dat misschien... Hij heeft ons sowieso gezien, die camera.","See if we can... He saw us anyway, that camera.",neutral,nervousness,fear,fear
"00:37:18,000","00:37:20,000","Zie jij iemand? Nee, hè?","Zie jij iemand? Nee, hè?",Do you see anyone? Oh no?,fear,fear,fear,fear
"00:37:20,000","00:37:21,000",Wat doen al die mensen hier met de camera?,Wat doen al die mensen hier met de camera?,What are all these people doing here with the camera?,neutral,confusion,sadness,surprise
"00:37:21,000","00:37:23,000",Goed kijken.,Goed kijken.,Look closely.,neutral,instruction,neutral,neutral
"00:37:23,000","00:37:25,000","O, wauw.","O, wauw.","Oh, wow.",surprise,surprise,surprise,surprise
"00:37:25,000","00:37:26,000",Dank je wel.,Dank je wel.,Thank you.,neutral,gratitude,happiness,happiness
"00:37:26,000","00:37:28,000",Wat een timing.,Wat een timing.,What timing.,neutral,realization,surprise,neutral
"00:37:37,000","00:37:39,000",Ik kom hier nooit meer terug.,Ik kom hier nooit meer terug.,I'll never come back here again.,disgust,disgust,disgust,disgust
"00:37:43,000","00:37:46,000","Dat is het straatje, zeg maar.","Dat is het straatje, zeg maar.","That's the street, so to speak.",neutral,realization,surprise,neutral
"00:37:46,000","00:37:48,000","Dan komt-ie hier, staat-ie daar te wachten...","Dan komt-ie hier, staat-ie daar te wachten...","Then he comes here, he waits there...",neutral,realization,surprise,neutral
"00:37:48,000","00:37:50,000",en dan kom jij uit dat paadje daar zo.,en dan kom jij uit dat paadje daar zo.,and then you come out of that path there.,neutral,realization,surprise,neutral
"00:37:50,000","00:37:52,000",Waar de man met het rode shirt loopt?,Waar de man met het rode shirt loopt?,Where the man in the red shirt walks?,surprise,curiosity,neutral,surprise
"00:45:57,000","00:45:58,000","Ja, jij daar.","Ja, jij daar.","Yes, you there.",neutral,neutral,neutral,neutral
"00:45:58,000","00:46:03,000",Vriendinnen Marijke en Layla zijn dankzij twee liften tot Leerdam gekomen.,Vriendinnen Marijke en Layla zijn dankzij twee liften tot Leerdam gekomen.,Friends Marijke and Layla reached Leerdam thanks to two lifts.,neutral,joy,happiness,neutral
"00:46:03,000","00:46:06,000",Ze voelen zich daar veilig genoeg om de oude mobiele telefoon...,Ze voelen zich daar veilig genoeg om de oude mobiele telefoon...,They feel safe enough there to use the old mobile phone...,neutral,relief,happiness,happiness
"00:46:06,000","00:46:09,000","die ze uit de container mee moesten nemen, nader te inspecteren.","die ze uit de container mee moesten nemen, nader te inspecteren.","which they had to take with them from the container, to inspect further.",neutral,curiosity,neutral,neutral
"00:46:09,000","00:46:11,000",Er zit niks in.,Er zit niks in.,There's nothing in it.,neutral,disappointment,sadness,sadness
"00:46:11,000","00:46:13,000",Dus dat is toch ook raar?,Dus dat is toch ook raar?,"So that's weird too, right?",surprise,confusion,sadness,surprise
"00:46:15,000","00:46:18,000","Ik had hem prongelijk aangezet, maar ik had meteen die accu er weer uitgehaald.","Ik had hem prongelijk aangezet, maar ik had meteen die accu er weer uitgehaald.","I turned it on immediately, but I immediately took the battery out again.",neutral,nervousness,fear,fear
"00:46:18,000","00:46:22,000","Nou, hou mij ook een bij, want dit kunnen ze toch ook niet streamen?","Nou, hou mij ook een bij, want dit kunnen ze toch ook niet streamen?","Well, keep me posted, because they can't stream this either, can they?",neutral,curiosity,neutral,neutral
"00:46:22,000","00:46:23,000",En dan...,En dan...,And then...,neutral,anticipation,happiness,neutral
"00:46:23,000","00:46:24,000",Nee.,Nee.,Nee.,neutral,disapproval,disgust,neutral
"00:46:24,000","00:46:25,000",Is dat nou al weg? Weet ik niet.,Is dat nou al weg? Weet ik niet.,Is that gone already? I don't know.,neutral,confusion,sadness,neutral
"00:46:25,000","00:46:26,000",We moeten hem denk ik wel aanzetten.,We moeten hem denk ik wel aanzetten.,I think we should turn him on.,neutral,desire,happiness,neutral
"00:46:26,000","00:46:27,000",Ik denk wel dat er iets in staat.,Ik denk wel dat er iets in staat.,I think there's something in it.,neutral,curiosity,neutral,neutral
"00:46:27,000","00:46:28,000",Ja.,Ja.,And.,neutral,neutral,neutral,neutral
"00:46:28,000","00:46:31,000",Het waarschuwingsbelletje van helper Mark is uitgebleven.,Het waarschuwingsbelletje van helper Mark is uitgebleven.,Helper Mark's warning bell has not gone off.,neutral,surprise,surprise,surprise
"00:46:31,000","00:46:33,000",Davy en Linda blijven dus in pernis.,Davy en Linda blijven dus in pernis.,So Davy and Linda remain in Pernis.,neutral,neutral,neutral,neutral
