Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:16:58,000","00:17:00,000","I do have a considerable amount of experience,","I do have a considerable amount of experience,","I do have a considerable amount of experience,",happiness,mild
"00:17:01,000","00:17:03,000",They see me as valuable.,They see me as valuable.,They see me as valuable.,happiness,moderate
"00:17:03,000","00:17:05,000",That's part of my plan anyway.,That's part of my plan anyway.,That's part of my plan anyway.,neutral,neutral
"00:17:05,000","00:17:07,000",Make yourself valuable.,Make yourself valuable.,Make yourself valuable.,neutral,neutral
"00:17:07,000","00:17:09,000",Don't be just an extra body on the ground.,Don't be just an extra body on the ground.,Don't be just an extra body on the ground.,neutral,neutral
"00:17:09,000","00:17:11,000","If we can all just have a look around the general area,","If we can all just have a look around the general area,","If we can all just have a look around the general area,",neutral,neutral
"00:17:11,000","00:17:13,000","and we'll just bring it all in here,","and we'll just bring it all in here,","and we'll just bring it all in here,",neutral,neutral
"00:17:13,000","00:17:16,000","and then we'll see what we've got, and figure out what we're going to build, eh?","and then we'll see what we've got, and figure out what we're going to build, eh?","and then we'll see what we've got, and figure out what we're going to build, eh?",surprise,mild
"00:17:16,000","00:17:18,000","All right, go team!","All right, go team!","All right, go team!",happiness,moderate
"00:17:18,000","00:17:20,000",The first thing that I noticed about the tribe members,The first thing that I noticed about the tribe members,The first thing that I noticed about the tribe members,surprise,mild
"00:17:20,000","00:17:22,000","is that a lot of people are standoffish,","is that a lot of people are standoffish,","is that a lot of people are standoffish,",surprise,mild
"00:17:22,000","00:17:26,000",and I'm wondering if it's because of Tony being so direct.,and I'm wondering if it's because of Tony being so direct.,and I'm wondering if it's because of Tony being so direct.,surprise,mild
"00:17:26,000","00:17:29,000","As soon as we walk in, he knew what he thought we needed to do,","As soon as we walk in, he knew what he thought we needed to do,","As soon as we walk in, he knew what he thought we needed to do,",neutral,neutral
"00:17:29,000","00:17:31,000","who was in charge,","who was in charge,","who was in charge,",neutral,neutral
"00:17:31,000","00:17:33,000",and so we kind of let it happen.,and so we kind of let it happen.,and so we kind of let it happen.,neutral,neutral
"00:17:33,000","00:17:35,000","Yeah, if you look at some of that stuff, it's a bit rotten.","Yeah, if you look at some of that stuff, it's a bit rotten.","Yeah, if you look at some of that stuff, it's a bit rotten.",anger,mild
"00:17:35,000","00:17:37,000","Give it a good kick first, eh?","Give it a good kick first, eh?","Give it a good kick first, eh?",neutral,neutral
"00:17:39,000","00:17:43,000","Tony, were you thinking just to build an actual structure in this little area here?","Tony, were you thinking just to build an actual structure in this little area here?","Tony, were you thinking just to build an actual structure in this little area here?",surprise,mild
"00:17:43,000","00:17:44,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:17:44,000","00:17:48,000",I don't mind Tony taking a leadership role in this tribe.,I don't mind Tony taking a leadership role in this tribe.,I don't mind Tony taking a leadership role in this tribe.,happiness,mild
"00:17:48,000","00:17:51,000","It kind of takes the focus off me a little bit, I guess.","It kind of takes the focus off me a little bit, I guess.","It kind of takes the focus off me a little bit, I guess.",happiness,mild
"00:17:51,000","00:17:53,000","No, no, just try and overlap,","No, no, just try and overlap,","No, no, just try and overlap,",neutral,neutral
"00:17:53,000","00:17:56,000",and then I can show you how to try a square left.,and then I can show you how to try a square left.,and then I can show you how to try a square left.,neutral,neutral
"00:17:57,000","00:17:59,000","Yeah, that's too small, eh?","Yeah, that's too small, eh?","Yeah, that's too small, eh?",anger,mild
"00:17:59,000","00:18:02,000","Could you take it, yeah, to that far, onto that one?","Could you take it, yeah, to that far, onto that one?","Could you take it, yeah, to that far, onto that one?",neutral,neutral
"00:18:02,000","00:18:04,000",That's a better idea.,That's a better idea.,That's a better idea.,happiness,mild
"00:18:04,000","00:18:05,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:18:05,000","00:18:07,000",Maybe that one's a bit shorter.,Maybe that one's a bit shorter.,Maybe that one's a bit shorter.,neutral,neutral
"00:18:22,000","00:18:25,000","OK, guys, we need to site the toilet away from our camp.","OK, guys, we need to site the toilet away from our camp.","OK, guys, we need to site the toilet away from our camp.",neutral,neutral
"00:18:25,000","00:18:30,000","But not too far away that, you know, if the girls want to come down here,","But not too far away that, you know, if the girls want to come down here,","But not too far away that, you know, if the girls want to come down here,",happiness,mild
"00:18:30,000","00:18:32,000",they're not going to find it.,they're not going to find it.,they're not going to find it.,neutral,neutral
"00:18:32,000","00:18:35,000",They're way off in the bush and they get lost and maybe get bitten by something.,They're way off in the bush and they get lost and maybe get bitten by something.,They're way off in the bush and they get lost and maybe get bitten by something.,fear,moderate
"00:18:35,000","00:18:38,000","So I think we'll use this initially, we'll dig one here.","So I think we'll use this initially, we'll dig one here.","So I think we'll use this initially, we'll dig one here.",neutral,neutral
"00:18:38,000","00:18:41,000","I mean, we'll dig it deep enough for about two or three days,","I mean, we'll dig it deep enough for about two or three days,","I mean, we'll dig it deep enough for about two or three days,",neutral,neutral
"00:18:41,000","00:18:44,000","so you probably want a hole about, say, two feet deep.","so you probably want a hole about, say, two feet deep.","so you probably want a hole about, say, two feet deep.",neutral,neutral
"00:18:44,000","00:18:45,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:18:45,000","00:18:48,000","See, I'll go get a machete.","See, I'll go get a machete.","See, I'll go get a machete.",neutral,neutral
"00:18:50,000","00:18:52,000","I mean, Tony's here because he loves it.","I mean, Tony's here because he loves it.","I mean, Tony's here because he loves it.",happiness,mild
"00:18:53,000","00:18:58,000","I think he's here for the experience, like, so I don't see him as a huge threat.","I think he's here for the experience, like, so I don't see him as a huge threat.","I think he's here for the experience, like, so I don't see him as a huge threat.",neutral,neutral
"00:18:58,000","00:19:02,000","Yeah, I want to try and, you know, side with him and still keep him close.","Yeah, I want to try and, you know, side with him and still keep him close.","Yeah, I want to try and, you know, side with him and still keep him close.",neutral,neutral
"00:19:02,000","00:19:05,000",Only I've got stuff to learn off a dude like that.,Only I've got stuff to learn off a dude like that.,Only I've got stuff to learn off a dude like that.,surprise,mild
"00:19:05,000","00:19:07,000",He's cool.,He's cool.,He's cool.,happiness,mild
"00:19:12,000","00:19:14,000","How's the loo going, Tom?","How's the loo going, Tom?","How's the loo going, Tom?",neutral,neutral
"00:19:14,000","00:19:17,000",Just clearing it out. Have you talked to Lou?,Just clearing it out. Have you talked to Lou?,Just clearing it out. Have you talked to Lou?,neutral,neutral
"00:19:17,000","00:19:21,000",Not really. I just— I think we've all agreed on Hannah.,Not really. I just— I think we've all agreed on Hannah.,Not really. I just— I think we've all agreed on Hannah.,neutral,neutral
"00:19:21,000","00:19:22,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:19:22,000","00:19:26,000",My biggest concern going into tribal would be that I get blindsided.,My biggest concern going into tribal would be that I get blindsided.,My biggest concern going into tribal would be that I get blindsided.,fear,moderate
"00:19:26,000","00:19:30,000","I don't know these people yet, and there's always going to be doubt,","I don't know these people yet, and there's always going to be doubt,","I don't know these people yet, and there's always going to be doubt,",fear,moderate
"00:19:30,000","00:19:33,000","but this first day, there's a lot of doubt.","but this first day, there's a lot of doubt.","but this first day, there's a lot of doubt.",fear,moderate
"00:19:33,000","00:19:37,000",I want to kill it so we can have it for our dinners.,I want to kill it so we can have it for our dinners.,I want to kill it so we can have it for our dinners.,happiness,moderate
"00:19:37,000","00:19:39,000",I don't want it to claw me.,I don't want it to claw me.,I don't want it to claw me.,fear,mild
"00:19:39,000","00:19:43,000",It might just claw onto your stick and then you can carry it.,It might just claw onto your stick and then you can carry it.,It might just claw onto your stick and then you can carry it.,neutral,neutral
"00:19:47,000","00:19:49,000",I caught a dinner!,I caught a dinner!,I caught a dinner!,happiness,moderate
"00:19:49,000","00:19:50,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:19:50,000","00:19:53,000","It's more like an entree, eh? Entree.","It's more like an entree, eh? Entree.","It's more like an entree, eh? Entree.",happiness,mild
"00:19:55,000","00:20:00,000","Tom is just, like— I'm really impressed with the way you just, like, were bossing that challenge.","Tom is just, like— I'm really impressed with the way you just, like, were bossing that challenge.","Tom is just, like— I'm really impressed with the way you just, like, were bossing that challenge.",happiness,moderate
"00:20:00,000","00:20:01,000",like throwing your body on there,like throwing your body on there,like throwing your body on there,happiness,mild
"00:20:01,000","00:20:02,000",and you're looking pretty strong.,and you're looking pretty strong.,and you're looking pretty strong.,happiness,mild
"00:20:02,000","00:20:05,000","I was like, bro, I told you I was a powerlifter","I was like, bro, I told you I was a powerlifter","I was like, bro, I told you I was a powerlifter",happiness,moderate
"00:20:05,000","00:20:06,000",and you just immediately wrote me off,and you just immediately wrote me off,and you just immediately wrote me off,sadness,moderate
"00:20:06,000","00:20:08,000","and like, fat girl, you're not gonna be strong,","and like, fat girl, you're not gonna be strong,","and like, fat girl, you're not gonna be strong,",anger,moderate
"00:20:08,000","00:20:10,000",you're gonna be the weakling.,you're gonna be the weakling.,you're gonna be the weakling.,anger,moderate
"00:20:10,000","00:20:14,000",My immediate reaction with voting would be Tom.,My immediate reaction with voting would be Tom.,My immediate reaction with voting would be Tom.,neutral,neutral
"00:20:14,000","00:20:15,000","I think he could be quite dangerous,","I think he could be quite dangerous,","I think he could be quite dangerous,",fear,moderate
"00:20:15,000","00:20:18,000",so I'm a little bit worried what he could do.,so I'm a little bit worried what he could do.,so I'm a little bit worried what he could do.,fear,mild
"00:20:18,000","00:20:20,000","He was part of an alliance, like yeah,","He was part of an alliance, like yeah,","He was part of an alliance, like yeah,",neutral,neutral
"00:20:20,000","00:20:23,000",one that was naturally created,one that was naturally created,one that was naturally created,neutral,neutral
"00:20:23,000","00:20:24,000",before the tribes were announced.,before the tribes were announced.,before the tribes were announced.,neutral,neutral
"00:20:24,000","00:20:25,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:20:25,000","00:20:28,000",Worst person on my hit list is Tom.,Worst person on my hit list is Tom.,Worst person on my hit list is Tom.,anger,moderate
"00:20:30,000","00:20:33,000",because I know he has some strong people,because I know he has some strong people,because I know he has some strong people,neutral,neutral
"00:20:33,000","00:20:35,000",that he's quite close with from the other tribes.,that he's quite close with from the other tribes.,that he's quite close with from the other tribes.,neutral,neutral
"00:20:35,000","00:20:36,000",You have to look out for people,You have to look out for people,You have to look out for people,fear,moderate
"00:20:36,000","00:20:38,000",who might potentially send you home,who might potentially send you home,who might potentially send you home,fear,moderate
"00:20:38,000","00:20:40,000",and he's one of those people.,and he's one of those people.,and he's one of those people.,neutral,neutral
"00:20:40,000","00:20:41,000","But I just purely think Tom,","But I just purely think Tom,","But I just purely think Tom,",anger,mild
"00:20:41,000","00:20:45,000","just because he's, to me, he seems unpredictable.","just because he's, to me, he seems unpredictable.","just because he's, to me, he seems unpredictable.",fear,mild
"00:20:45,000","00:20:46,000","Like, you don't know what side he will take.","Like, you don't know what side he will take.","Like, you don't know what side he will take.",surprise,moderate
"00:20:46,000","00:20:48,000","No, I don't know where his loyalties would lie.","No, I don't know where his loyalties would lie.","No, I don't know where his loyalties would lie.",surprise,moderate
"00:20:48,000","00:20:49,000","Like, he's real cool, like, he's a real decent guy,","Like, he's real cool, like, he's a real decent guy,","Like, he's real cool, like, he's a real decent guy,",happiness,mild
"00:20:49,000","00:20:52,000",but in terms of strategy.,but in terms of strategy.,but in terms of strategy.,neutral,neutral
"00:20:52,000","00:20:54,000","Once you stick with someone, like, that's it.","Once you stick with someone, like, that's it.","Once you stick with someone, like, that's it.",neutral,neutral
"00:20:54,000","00:20:56,000",I will be voting for Tom tonight,I will be voting for Tom tonight,I will be voting for Tom tonight,happiness,moderate
"00:20:56,000","00:21:00,000",because I don't find him 100% trustworthy.,because I don't find him 100% trustworthy.,because I don't find him 100% trustworthy.,anger,moderate
"00:21:00,000","00:21:02,000","Well, are you okay with that?","Well, are you okay with that?","Well, are you okay with that?",surprise,mild
"00:21:02,000","00:21:03,000",As long as you don't turn around and put it off.,As long as you don't turn around and put it off.,As long as you don't turn around and put it off.,neutral,neutral
"00:21:03,000","00:21:04,000","No, for sure.","No, for sure.","No, for sure.",neutral,neutral
"00:21:05,000","00:21:06,000","Okay, I'm good with that.","Okay, I'm good with that.","Okay, I'm good with that.",happiness,mild
"00:21:06,000","00:21:09,000",Tom has to go and Izzy and Hannah agree.,Tom has to go and Izzy and Hannah agree.,Tom has to go and Izzy and Hannah agree.,happiness,moderate
"00:21:10,000","00:21:13,000","Guys, we have to come back or something.","Guys, we have to come back or something.","Guys, we have to come back or something.",neutral,neutral
"00:21:13,000","00:21:14,000","Otherwise, it's just not as dodgy.","Otherwise, it's just not as dodgy.","Otherwise, it's just not as dodgy.",neutral,neutral
"00:21:19,000","00:21:20,000","Well, I've got a bro coming through.","Well, I've got a bro coming through.","Well, I've got a bro coming through.",neutral,neutral
"00:21:20,000","00:21:23,000","Oh, there's gonna be a mean fire by the time we're done.","Oh, there's gonna be a mean fire by the time we're done.","Oh, there's gonna be a mean fire by the time we're done.",happiness,moderate
"00:21:23,000","00:21:24,000",We're not here.,We're not here.,We're not here.,surprise,mild
"00:21:25,000","00:21:27,000","You're insane, eh?","You're insane, eh?","You're insane, eh?",happiness,mild
"00:21:27,000","00:21:27,000",Woohoo!,Woohoo!,Woohoo!,happiness,intense
"00:21:27,000","00:21:29,000","Oh my God, look at this.","Oh my God, look at this.","Oh my God, look at this.",surprise,moderate
"00:21:29,000","00:21:30,000","Oh yeah, yeah.","Oh yeah, yeah.","Oh yeah, yeah.",neutral,neutral
"00:21:30,000","00:21:31,000",Look at you.,Look at you.,Look at you.,happiness,mild
"00:21:31,000","00:21:32,000",My babies.,My babies.,My babies.,neutral,mild
"00:21:32,000","00:21:35,000",My greatest strength to this tribe would be my strength.,My greatest strength to this tribe would be my strength.,My greatest strength to this tribe would be my strength.,happiness,moderate
"00:21:35,000","00:21:38,000","So I was picking up boulders and, not boulders,","So I was picking up boulders and, not boulders,","So I was picking up boulders and, not boulders,",happiness,mild
"00:21:38,000","00:21:40,000",but really big rocks and bringing them over.,but really big rocks and bringing them over.,but really big rocks and bringing them over.,happiness,mild
"00:21:40,000","00:21:42,000",I'd like to say it was a boulder.,I'd like to say it was a boulder.,I'd like to say it was a boulder.,happiness,mild
"00:21:42,000","00:21:46,000","I'm like, this is Hannah's pile.","I'm like, this is Hannah's pile.","I'm like, this is Hannah's pile.",neutral,neutral
"00:21:46,000","00:21:47,000","Oh, it actually is.","Oh, it actually is.","Oh, it actually is.",surprise,mild
"00:21:47,000","00:21:49,000","I think Hannah is strong as hell,","I think Hannah is strong as hell,","I think Hannah is strong as hell,",happiness,moderate
"00:21:49,000","00:21:52,000",mentally and physically.,mentally and physically.,mentally and physically.,happiness,moderate
"00:21:52,000","00:21:53,000",She's really tough.,She's really tough.,She's really tough.,happiness,moderate
"00:21:54,000","00:21:56,000",I just know that there's a lot,I just know that there's a lot,I just know that there's a lot,neutral,neutral
"00:21:59,000","00:22:01,000",and no team wants to be slowed down at all.,and no team wants to be slowed down at all.,and no team wants to be slowed down at all.,neutral,neutral
"00:22:03,000","00:22:08,000","So basically, me, Izzy and Hannah","So basically, me, Izzy and Hannah","So basically, me, Izzy and Hannah",neutral,neutral
"00:22:09,000","00:22:11,000",have discussed voting Tom out,have discussed voting Tom out,have discussed voting Tom out,happiness,moderate
"00:22:13,000","00:22:15,000",just because he's an easy threat.,just because he's an easy threat.,just because he's an easy threat.,anger,moderate
"00:22:15,000","00:22:20,000","Yeah, I think both Izzy and Tom on the same page.","Yeah, I think both Izzy and Tom on the same page.","Yeah, I think both Izzy and Tom on the same page.",neutral,neutral
"00:22:20,000","00:22:23,000",They're thinking about Hannah as well.,They're thinking about Hannah as well.,They're thinking about Hannah as well.,neutral,neutral
"00:22:23,000","00:22:26,000",I'll be seeing Hannah because of the challenges.,I'll be seeing Hannah because of the challenges.,I'll be seeing Hannah because of the challenges.,neutral,neutral
"00:22:26,000","00:22:27,000",That's a surprise to me,That's a surprise to me,That's a surprise to me,surprise,mild
"00:22:27,000","00:22:29,000",because she's part of my original alliance.,because she's part of my original alliance.,because she's part of my original alliance.,surprise,mild
"00:22:29,000","00:22:32,000",I'm not very happy with this new development.,I'm not very happy with this new development.,I'm not very happy with this new development.,sadness,moderate
"00:22:32,000","00:22:36,000",Tom's just sitting around looking at Isabelle,Tom's just sitting around looking at Isabelle,Tom's just sitting around looking at Isabelle,surprise,mild
"00:22:36,000","00:22:38,000",because he didn't like how she just gave way out.,because he didn't like how she just gave way out.,because he didn't like how she just gave way out.,anger,moderate
"00:22:38,000","00:22:39,000",He didn't like how what?,He didn't like how what?,He didn't like how what?,surprise,mild
"00:22:39,000","00:22:41,000",How she gave way out.,How she gave way out.,How she gave way out.,anger,mild
"00:22:41,000","00:22:42,000",She didn't say-,She didn't say-,She didn't say-,surprise,mild
"00:22:42,000","00:22:44,000",I think Tom's feeling the pressure,I think Tom's feeling the pressure,I think Tom's feeling the pressure,fear,moderate
"00:22:44,000","00:22:47,000",and maybe in desperation is trying to point the finger,and maybe in desperation is trying to point the finger,and maybe in desperation is trying to point the finger,anger,moderate
"00:22:47,000","00:22:48,000",at somebody else.,at somebody else.,at somebody else.,anger,mild
"00:22:48,000","00:22:49,000",He's thinking you do.,He's thinking you do.,He's thinking you do.,neutral,neutral
"00:22:49,000","00:22:52,000","She's already thinking past, you know?","She's already thinking past, you know?","She's already thinking past, you know?",surprise,mild
"00:22:52,000","00:22:54,000",I think that we should stick to the plan,I think that we should stick to the plan,I think that we should stick to the plan,happiness,mild
"00:22:54,000","00:22:56,000",because Tom's an absolute threat.,because Tom's an absolute threat.,because Tom's an absolute threat.,fear,moderate
"00:22:56,000","00:23:00,000",But ultimately my most solid alliance would be Osana.,But ultimately my most solid alliance would be Osana.,But ultimately my most solid alliance would be Osana.,neutral,neutral
"00:23:00,000","00:23:02,000",That's kind of what I'm going with right now.,That's kind of what I'm going with right now.,That's kind of what I'm going with right now.,neutral,neutral
"00:23:02,000","00:23:05,000","So, Hannah or Izzy?","So, Hannah or Izzy?","So, Hannah or Izzy?",surprise,mild
"00:23:05,000","00:23:06,000",Switch.,Switch.,Switch.,neutral,neutral
"00:23:06,000","00:23:07,000",Or Hannah?,Or Hannah?,Or Hannah?,surprise,mild
"00:23:07,000","00:23:09,000",What do you think?,What do you think?,What do you think?,surprise,mild
"00:23:09,000","00:23:10,000",Let's see.,Let's see.,Let's see.,neutral,neutral
"00:23:13,000","00:23:15,000",I'm just waiting for a name,I'm just waiting for a name,I'm just waiting for a name,neutral,neutral
"00:23:15,000","00:23:16,000",because I don't know where the numbers are.,because I don't know where the numbers are.,because I don't know where the numbers are.,surprise,mild
"00:23:16,000","00:23:17,000",I think we should lock one in,I think we should lock one in,I think we should lock one in,neutral,neutral
"00:23:17,000","00:23:19,000",so we don't keep talking about it,so we don't keep talking about it,so we don't keep talking about it,anger,mild
"00:23:19,000","00:23:21,000",so we can get work done.,so we can get work done.,so we can get work done.,neutral,neutral
"00:23:21,000","00:23:21,000",I don't know if you guys realise,I don't know if you guys realise,I don't know if you guys realise,surprise,mild
"00:23:21,000","00:23:24,000",but Hannah's been doing a lot more work than Izzy.,but Hannah's been doing a lot more work than Izzy.,but Hannah's been doing a lot more work than Izzy.,happiness,mild
"00:23:24,000","00:23:25,000","Yeah, yeah.","Yeah, yeah.","Yeah, yeah.",neutral,neutral
"00:23:25,000","00:23:28,000","I think she's just properly like proving herself, eh?","I think she's just properly like proving herself, eh?","I think she's just properly like proving herself, eh?",happiness,moderate
"00:23:28,000","00:23:30,000",Like that's the point of it.,Like that's the point of it.,Like that's the point of it.,surprise,mild
"00:23:30,000","00:23:31,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:23:31,000","00:23:33,000","So Tom, either one's Hannah out or Izzy out","So Tom, either one's Hannah out or Izzy out","So Tom, either one's Hannah out or Izzy out",neutral,neutral
"00:23:33,000","00:23:35,000",which makes me a horrible person.,which makes me a horrible person.,which makes me a horrible person.,sadness,moderate
"00:23:35,000","00:23:39,000",I want to be the good person that does the decent thing,I want to be the good person that does the decent thing,I want to be the good person that does the decent thing,happiness,moderate
"00:23:39,000","00:23:41,000",and then I want to be a survivor.,and then I want to be a survivor.,and then I want to be a survivor.,happiness,moderate
"00:23:41,000","00:23:44,000",So you almost can't play the two at the same time.,So you almost can't play the two at the same time.,So you almost can't play the two at the same time.,surprise,moderate
"00:23:44,000","00:23:45,000","Just let me know, eh?","Just let me know, eh?","Just let me know, eh?",neutral,neutral
"00:23:45,000","00:23:45,000",Let me know.,Let me know.,Let me know.,neutral,neutral
"00:23:51,000","00:23:51,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:24:17,000","00:24:20,000","Hey guys, before we start dragging somewhere","Hey guys, before we start dragging somewhere","Hey guys, before we start dragging somewhere",neutral,neutral
"00:24:20,000","00:24:22,000",can we pick the somewhere?,can we pick the somewhere?,can we pick the somewhere?,surprise,mild
"00:24:22,000","00:24:23,000",Yeah.,Yeah.,Yeah.,neutral,neutral
"00:24:23,000","00:24:24,000",So where's home?,So where's home?,So where's home?,surprise,mild
"00:24:24,000","00:24:25,000",Closer to the beach.,Closer to the beach.,Closer to the beach.,neutral,neutral
"00:24:25,000","00:24:25,000",Don't want to be too far in here.,Don't want to be too far in here.,Don't want to be too far in here.,neutral,neutral
"00:24:25,000","00:24:27,000","No, as I say, you've got to pick a site","No, as I say, you've got to pick a site","No, as I say, you've got to pick a site",neutral,neutral
"00:24:27,000","00:24:28,000",and then we just pick it.,and then we just pick it.,and then we just pick it.,neutral,neutral
"00:24:28,000","00:24:28,000","Yeah, good idea.","Yeah, good idea.","Yeah, good idea.",happiness,mild
"00:24:28,000","00:24:30,000",So we reckon just over here,So we reckon just over here,So we reckon just over here,neutral,neutral
"00:24:30,000","00:24:32,000",so it's quite like just behind our flag?,so it's quite like just behind our flag?,so it's quite like just behind our flag?,surprise,mild
"00:24:32,000","00:24:33,000",We go there then.,We go there then.,We go there then.,neutral,neutral
"00:24:33,000","00:24:34,000",Yep.,Yep.,Yep.,neutral,neutral
"00:24:34,000","00:24:35,000",Okay.,Okay.,Okay.,neutral,neutral
"00:24:35,000","00:24:36,000","Just where, okay.","Just where, okay.","Just where, okay.",neutral,neutral
"00:24:36,000","00:24:37,000",So there goes that.,So there goes that.,So there goes that.,neutral,neutral
"00:24:37,000","00:24:38,000",Yep.,Yep.,Yep.,neutral,neutral
"00:24:38,000","00:24:39,000",My preparation for Survivor,My preparation for Survivor,My preparation for Survivor,neutral,neutral
"00:24:39,000","00:24:41,000",didn't start the day that I found out,didn't start the day that I found out,didn't start the day that I found out,neutral,neutral
"00:24:41,000","00:24:42,000",I was going to be on Survivor.,I was going to be on Survivor.,I was going to be on Survivor.,happiness,mild
"00:24:42,000","00:24:44,000",It started the day that I found out,It started the day that I found out,It started the day that I found out,surprise,mild
"00:24:44,000","00:24:47,000",Survivor was coming to New Zealand.,Survivor was coming to New Zealand.,Survivor was coming to New Zealand.,happiness,mild
"00:24:47,000","00:24:48,000","So I got to the point where I could run,","So I got to the point where I could run,","So I got to the point where I could run,",happiness,mild
"00:24:48,000","00:24:49,000",I could swim.,I could swim.,I could swim.,happiness,mild
"00:24:49,000","00:24:51,000",I was juggling.,I was juggling.,I was juggling.,happiness,mild
"00:24:51,000","00:24:53,000",I was standing on one foot.,I was standing on one foot.,I was standing on one foot.,happiness,mild
"00:24:53,000","00:24:55,000",I have held my arm up in the air,I have held my arm up in the air,I have held my arm up in the air,happiness,mild
"00:24:55,000","00:24:57,000",for as long as I possibly can.,for as long as I possibly can.,for as long as I possibly can.,happiness,mild
"00:24:57,000","00:25:00,000",And I started meditating,And I started meditating,And I started meditating,neutral,neutral
"00:25:00,000","00:25:03,000",and thinking about how I was going to act nice,and thinking about how I was going to act nice,and thinking about how I was going to act nice,surprise,mild
"00:25:03,000","00:25:05,000",and how I was going to convince people,and how I was going to convince people,and how I was going to convince people,surprise,mild
"00:25:05,000","00:25:06,000",that I was a pleasant person.,that I was a pleasant person.,that I was a pleasant person.,neutral,neutral
"00:25:09,000","00:25:11,000",Have either of you thought at all,Have either of you thought at all,Have either of you thought at all,surprise,mild
"00:25:11,000","00:25:12,000",that maybe it wasn't the best idea,that maybe it wasn't the best idea,that maybe it wasn't the best idea,neutral,neutral
"00:25:12,000","00:25:15,000",for three of us to go off and leave five behind?,for three of us to go off and leave five behind?,for three of us to go off and leave five behind?,neutral,neutral
"00:25:15,000","00:25:16,000",Risky?,Risky?,Risky?,neutral,neutral
"00:25:16,000","00:25:19,000","No, I think if we're worried about that,","No, I think if we're worried about that,","No, I think if we're worried about that,",neutral,neutral
"00:25:19,000","00:25:22,000",then it's us three and try and get two more in.,then it's us three and try and get two more in.,then it's us three and try and get two more in.,neutral,neutral
"00:25:22,000","00:25:25,000","That's going to, oh, I think Barb, Barb","That's going to, oh, I think Barb, Barb","That's going to, oh, I think Barb, Barb",neutral,neutral
"00:25:25,000","00:25:27,000","surely would want to come with the girls,","surely would want to come with the girls,","surely would want to come with the girls,",happiness,mild
"00:25:27,000","00:25:27,000",but who knows?,but who knows?,but who knows?,neutral,neutral
"00:25:27,000","00:25:29,000",But do we want a whole girl alive?,But do we want a whole girl alive?,But do we want a whole girl alive?,surprise,mild
"00:25:29,000","00:25:30,000","No, because the boys will never flip.","No, because the boys will never flip.","No, because the boys will never flip.",neutral,neutral
"00:25:30,000","00:25:32,000",They'll just try to grab one of us.,They'll just try to grab one of us.,They'll just try to grab one of us.,neutral,neutral
"00:25:32,000","00:25:33,000",So what do you reckon?,So what do you reckon?,So what do you reckon?,surprise,mild
"00:25:35,000","00:25:38,000",I do want to rush into an alliance straight away.,I do want to rush into an alliance straight away.,I do want to rush into an alliance straight away.,happiness,mild
"00:25:38,000","00:25:39,000","As soon as I got to camp,","As soon as I got to camp,","As soon as I got to camp,",neutral,neutral
"00:25:39,000","00:25:41,000","I was looking around at my tribe thinking,","I was looking around at my tribe thinking,","I was looking around at my tribe thinking,",surprise,mild
"00:25:41,000","00:25:44,000","all right, come on, who can I trust?","all right, come on, who can I trust?","all right, come on, who can I trust?",surprise,mild
"00:25:44,000","00:25:46,000","Dee has spoken to Shannon and I,","Dee has spoken to Shannon and I,","Dee has spoken to Shannon and I,",neutral,neutral
"00:25:46,000","00:25:48,000",but I'm a little bit wary of her at this point.,but I'm a little bit wary of her at this point.,but I'm a little bit wary of her at this point.,neutral,neutral
"00:25:48,000","00:25:51,000",So I'm not sure how I am feeling about Dee.,So I'm not sure how I am feeling about Dee.,So I'm not sure how I am feeling about Dee.,neutral,neutral
"00:25:51,000","00:25:56,000","You, the sex appeal, you two need to get in a couple of boys.","You, the sex appeal, you two need to get in a couple of boys.","You, the sex appeal, you two need to get in a couple of boys.",neutral,neutral
"00:25:56,000","00:25:57,000","Well, we can try.","Well, we can try.","Well, we can try.",neutral,neutral
"00:25:57,000","00:25:58,000",I don't know how well that's going to work.,I don't know how well that's going to work.,I don't know how well that's going to work.,neutral,neutral
"00:25:58,000","00:26:01,000","For me, I'm just not too sure about Dee.","For me, I'm just not too sure about Dee.","For me, I'm just not too sure about Dee.",neutral,neutral
"00:26:01,000","00:26:02,000",I trust Georgia.,I trust Georgia.,I trust Georgia.,neutral,neutral
"00:26:02,000","00:26:06,000",I'm not sure how much I can trust Dee at this point.,I'm not sure how much I can trust Dee at this point.,I'm not sure how much I can trust Dee at this point.,surprise,moderate
"00:26:06,000","00:26:06,000",We'll talk to you later?,We'll talk to you later?,We'll talk to you later?,neutral,neutral
"00:26:06,000","00:26:08,000","Yeah, yeah, we'll find a time.","Yeah, yeah, we'll find a time.","Yeah, yeah, we'll find a time.",neutral,neutral
"00:26:09,000","00:26:11,000","You know, someone like that,","You know, someone like that,","You know, someone like that,",surprise,mild
